model_seed,group,count,minimum,q25,median,q75,maximum
0,size_matched,600,0.0088495575221238,0.0088495575221238,0.0090061868587986,0.03533949408724245,0.2369018717205732
0,basis_stratified,600,0.1116767170491033,0.22668180750254519,0.2728483044874304,0.33514762314981594,0.5727934842195943
0,recovered,6,0.9902106664578276,0.9906218184665988,0.990915498472864,0.9912679144803821,0.9917769598245753
1,size_matched,500,0.0088495575221238,0.0450505129610776,0.06222100399404805,0.16091706476623072,0.412013470122954
1,basis_stratified,500,0.1744067663873443,0.2993969770538022,0.36263607173623613,0.4188268462683061,0.6295716187641945
1,recovered,7,0.9900540371211528,0.9900540371211528,0.9900540371211528,0.9900931944553215,0.9901323517894902
2,size_matched,500,0.0088495575221238,0.0088495575221238,0.0088495575221238,0.03330331271047065,0.3825671548280993
2,basis_stratified,500,0.1090923329939697,0.23598167436760897,0.2931318035868118,0.3492246847834599,0.6360717362361971
2,recovered,7,0.9901323517894902,0.9902106664578276,0.9902106664578276,0.9903672957945022,0.990523925131177
4,size_matched,500,0.0088495575221238,0.0088495575221238,0.0088495575221238,0.0331662620408802,0.2258595034850027
4,basis_stratified,500,0.049729814394236,0.1756989584149111,0.22370585010572475,0.28105176599577103,0.5185214190617903
4,recovered,7,0.9900540371211528,0.9902498237919962,0.990680554467852,0.990915498472864,0.9913853864828882
