model_seed,checkpoint_step,phase,greedy_top1,annealing_top1_min,annealing_top1_median,annealing_top1_max,annealing_top1_censored,annealing_js_min,annealing_js_median,annealing_js_max,annealing_js_censored,full_margin,js_raw_margin_error_median
0,200,delayed_pre_generalisation,513,512,512.0,512,9,513,513.0,513,10,2.7073252161683095,0.0337812140046014
0,3400,transition,515,515,515.0,515,10,512,512.0,512,10,4.157287652924399,0.1241597155918202
0,7450,stable_post,77,70,73.5,77,0,270,274.5,287,0,12.80010339940049,4.02087004289611
0,8150,stable_post,82,70,75.5,81,0,302,307.0,313,0,11.50718869549786,3.1131863814194185
0,8500,stable_post,75,65,69.5,71,0,316,320.0,322,0,11.061242825936969,2.6723275645728286
0,8650,stable_post,70,64,66.5,71,0,287,291.0,294,0,12.722628681481757,4.048573565425678
0,9050,stable_post,84,63,66.0,68,0,229,232.0,234,0,16.21631609091175,7.499837858776431
1,200,delayed_pre_generalisation,515,514,514.0,514,10,515,515.0,515,10,2.699177045588374,0.0151439830760013
1,3400,delayed_pre_generalisation,515,515,515.0,515,10,515,515.0,515,10,4.694405880761563,0.0684482178959535
1,7450,transition,515,515,515.0,515,10,515,515.0,515,10,5.195008394400215,0.0655100524229454
1,8150,transition,514,512,512.0,512,7,512,512.0,512,8,6.565697823015934,0.1641077998661194
1,8500,transition,511,503,505.0,506,0,506,506.0,506,0,5.603865896192562,0.1719007196119429
1,8650,transition,493,468,473.5,479,6,495,495.0,497,0,7.586619750070202,0.27059115006281553
1,9050,stable_post,146,115,127.0,136,0,261,266.5,273,0,13.32132779018966,3.1844728787957908
2,200,delayed_pre_generalisation,513,511,511.0,511,10,512,512.0,512,10,2.606880559591896,0.0349458154772001
2,3400,delayed_pre_generalisation,515,515,515.0,515,10,515,515.0,515,10,4.965648512665306,0.0782143390871749
2,7450,transition,297,264,278.5,291,0,432,434.0,443,0,10.74899692773791,0.7618661283307744
2,8150,stable_post,105,97,107.0,112,0,343,346.5,356,0,7.656990258599777,0.8310694570352424
2,8500,stable_post,87,81,84.5,87,0,293,297.5,303,0,10.898272045768318,2.850198665955155
2,8650,stable_post,93,76,82.0,86,0,267,273.0,277,0,12.468957935954348,4.276716310417412
2,9050,stable_post,92,65,70.0,72,0,209,217.0,221,0,15.734406054314007,7.605233104322892
3,200,delayed_pre_generalisation,510,508,508.0,508,7,509,509.0,509,10,2.542068526556072,0.0404112527416945
3,3400,delayed_pre_generalisation,514,514,514.0,514,10,513,513.0,513,10,4.544996190444773,0.1196990277921876
3,7450,transition,515,515,515.0,515,10,515,515.0,515,10,5.429409386730015,0.0830074697528704
3,8150,transition,515,514,514.0,514,10,511,511.0,511,9,3.0511324975342875,0.1048337377147449
3,8500,transition,515,514,514.0,514,3,512,512.0,512,0,4.4084209251566255,0.1219515129929655
3,8650,transition,514,513,513.0,513,0,511,511.0,511,1,5.439860744473144,0.1443021429953686
3,9050,transition,509,494,496.0,498,2,502,503.0,503,0,9.192270426306171,0.2439638024695058
4,200,delayed_pre_generalisation,513,513,513.0,513,10,514,514.0,514,10,2.635374735381779,0.0396706062192615
4,3400,delayed_pre_generalisation,515,515,515.0,515,10,513,513.0,513,10,4.725274678665993,0.1114321204954249
4,7450,stable_post,89,73,77.0,79,0,235,239.0,244,0,13.747628328411643,5.615215234473034
4,8150,stable_post,72,66,69.5,74,0,359,360.5,368,0,8.914745594566584,1.6422023299586401
4,8500,stable_post,67,60,63.0,66,0,288,291.0,293,0,12.49175965768242,4.4977756201292
4,8650,stable_post,65,58,60.5,64,0,261,265.0,268,0,13.943300173140532,5.9067905675889705
4,9050,stable_post,74,61,64.0,69,0,223,226.5,232,0,16.50627685065594,8.49205727399455
