training_step,train_loss,test_loss,train_accuracy,test_accuracy,total_parameter_norm,embedding_parameter_norm,positional_embedding_norm,attention_parameter_norm,mlp_parameter_norm,unembedding_parameter_norm,optimizer_first_moment_norm,optimizer_second_moment_norm,checkpoint_path,checkpoint_sha256
0,4.734201908111572,4.73443603515625,0.007310704793781042,0.008837677538394928,33.6379359709099,8.595634826435328,1.376398918860614,18.075317749850065,25.617793359581835,8.52894342562346,0.0,0.0,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000000.pt,b52200c5d5d28f4c3dac762b31743de67f31902b87c38bd25cd3c5df14bc8992
50,4.277159214019775,5.4351983070373535,0.071279376745224,0.002684863982722163,37.1301914829821,10.189879593770359,1.493130468461587,21.103992728101893,27.101197950805314,9.629880341677076,0.04958271384010398,1.9435671067335923e-05,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000050.pt,6ce6eb6b5c7c9cd0d114adf98ab9743491ebf8bffd1a068e6d26596ebb84bdf0
100,2.956258773803711,7.200742721557617,0.30339425802230835,0.010180109180510044,45.39934256998981,12.402260476889994,1.6877432295497252,26.720916475560024,32.452622201516306,11.715617721382294,0.11247226331353175,0.0003240570004151536,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000100.pt,f3f57b39c461967e05cbd7052cacbfdb903d4a522183d9db77783f94a0dde10a
150,0.5043708682060242,12.27685260772705,0.949608325958252,0.041839130222797394,54.214892187635506,15.583636276350633,1.8424541236452978,31.816160729156056,38.25479177797214,14.741539967252924,0.16732860499576463,0.0038757172383470265,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000150.pt,7c45041391243075f8d395a654017d9869de927028764c60cc2c4b401fdd686d
200,0.02693861350417137,17.78276824951172,1.0,0.05201924219727516,57.53868900470052,17.098494890426355,1.8828605047525526,33.781570072852695,40.157866236820226,16.15389562613145,0.029817600054084334,0.0015655786913224838,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000200.pt,4be8fec32aea46a37bafd7b0063675530149ac5f1db65358df0f0078db727aef
250,0.015231212601065636,17.915254592895508,1.0,0.05559905990958214,57.42526915964271,17.20177422912249,1.8523624063931698,33.94891091637293,39.77591300686013,16.238147893339335,0.014181261427660498,0.0005720993010427465,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000250.pt,f6ab562e36db78bc12075c7f3e0a93db8f9b4b2e6ca6c89cff328ab3c3317821
300,0.008780406787991524,18.21380043029785,1.0,0.05962635576725006,57.42521764716916,17.31697468561759,1.8265545380687005,34.181086833056945,39.486339530138444,16.337808956636014,0.0089969007576606,0.00021058159111484297,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000300.pt,b47ee523cfc3e472dda63c8da8b17a30f44445041a9e2653297c8f9b503470ba
350,0.004962690640240908,18.658533096313477,1.0,0.0628705695271492,57.50719930023183,17.443262864935733,1.8045723901307587,34.42932660347314,39.28619064795662,16.455113626891123,0.005492357136881617,7.7745515467979e-05,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000350.pt,83ebb1009cae9db6de71845d3b3c2a50bfcc6543df1b4061dfcca626af6649e4
400,0.002829016651958227,19.136911392211914,1.0,0.06589104235172272,57.619712338494374,17.562989823215194,1.7853640983846473,34.67309892902991,39.134699866473625,16.572163120589106,0.0033397308763214156,2.8718133882575733e-05,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000400.pt,f9bc9cc7539d3cbbf917e527ec510428e38a036ec7e274defc2c777efe67c080
450,0.00162278872448951,19.63601303100586,1.0,0.06879964470863342,57.749157034431384,17.675330464989177,1.7684936937685722,34.902810768120425,39.022419642095834,16.68726541278983,0.0020414380292966936,1.0653339791562428e-05,checkpoints/modular-addition-training-s0-5f1bc9dee7ab/step_00000450.pt,d26bcf6f1d43b2b45538d1a261aeed45844bfbceadda0e775e61edce6dd9e1f1
