analysis_run_id,workload,cell_id,checkpoint_index,checkpoint_step,fidelity_threshold,distinctness_cutoff,discovery_subset,grouping_tolerance,requested_member_index,accepted_circuit,restart_count,record_type,exact_evaluations_used,elapsed_seconds,included_in_deterministic_scientific_hashes
stage14-random-label-analysis-s0-7b472aa5163a,primary_sparse,primary-sparse-step-00000200,0,200,0.99,,,,,,,cell,1580,129.7615545410663,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_sparse,primary-sparse-step-00003400,1,3400,0.99,,,,,,,cell,643,52.31510379095562,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_sparse,primary-sparse-step-00007450,2,7450,0.99,,,,,,,cell,516,41.66564441588707,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_sparse,primary-sparse-step-00008150,3,8150,0.99,,,,,,,cell,739,60.164026708109304,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_sparse,primary-sparse-step-00008500,4,8500,0.99,,,,,,,cell,516,42.10532829188742,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_sparse,primary-sparse-step-00008650,5,8650,0.99,,,,,,,cell,787,63.80250125005841,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_sparse,primary-sparse-step-00009050,6,9050,0.99,,,,,,,cell,516,41.985171041917056,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00000200,0,200,0.99,0.5,,,,,1,cell,1580,130.20376725005917,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00000200,0,200,0.99,0.5,,,1,False,1,requested_member,1580,130.0547656249255,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00003400,1,3400,0.99,0.5,,,,,1,cell,643,52.968252249993384,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00003400,1,3400,0.99,0.5,,,1,False,1,requested_member,643,52.829223749926314,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00007450,2,7450,0.99,0.5,,,,,1,cell,516,42.67126704216935,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00007450,2,7450,0.99,0.5,,,1,False,1,requested_member,516,42.53196070785634,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00008150,3,8150,0.99,0.5,,,,,1,cell,739,60.362926749978215,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00008150,3,8150,0.99,0.5,,,1,False,1,requested_member,739,60.22737937513739,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00008500,4,8500,0.99,0.5,,,,,1,cell,516,41.74668712494895,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00008500,4,8500,0.99,0.5,,,1,False,1,requested_member,516,41.6095314999111,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00008650,5,8650,0.99,0.5,,,,,1,cell,787,63.66917858296074,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00008650,5,8650,0.99,0.5,,,1,False,1,requested_member,787,63.532869917107746,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00009050,6,9050,0.99,0.5,,,,,1,cell,516,41.597463625017554,False
stage14-random-label-analysis-s0-7b472aa5163a,primary_diversity,primary-family-step-00009050,6,9050,0.99,0.5,,,1,False,1,requested_member,516,41.459698708029464,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-08000,6,9050,0.8,0.5,,,,,1,cell,1254,106.00937508302741,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-08000,6,9050,0.8,0.5,,,1,False,1,requested_member,1254,105.86425620899536,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-08500,6,9050,0.85,0.5,,,,,1,cell,930,77.79063825006597,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-08500,6,9050,0.85,0.5,,,1,False,1,requested_member,930,77.6527880828362,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09000,6,9050,0.9,0.5,,,,,1,cell,1132,92.63047208287753,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09000,6,9050,0.9,0.5,,,1,False,1,requested_member,1132,92.49221495795064,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09500,6,9050,0.95,0.5,,,,,1,cell,546,44.82123958412558,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09500,6,9050,0.95,0.5,,,1,False,1,requested_member,546,44.67779966699891,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09750,6,9050,0.975,0.5,,,,,1,cell,547,44.83300745813176,False
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09750,6,9050,0.975,0.5,,,1,False,1,requested_member,547,44.68937179190107,False
stage14-random-label-analysis-s0-7b472aa5163a,distinctness_sensitivity,distinctness-sensitivity-step-00009050-cutoff-02500,6,9050,0.99,0.25,,,,,1,cell,516,42.719441041816026,False
stage14-random-label-analysis-s0-7b472aa5163a,distinctness_sensitivity,distinctness-sensitivity-step-00009050-cutoff-02500,6,9050,0.99,0.25,,,1,False,1,requested_member,516,42.58414904191159,False
stage14-random-label-analysis-s0-7b472aa5163a,distinctness_sensitivity,distinctness-sensitivity-step-00009050-cutoff-07500,6,9050,0.99,0.75,,,,,1,cell,516,41.996089207939804,False
stage14-random-label-analysis-s0-7b472aa5163a,distinctness_sensitivity,distinctness-sensitivity-step-00009050-cutoff-07500,6,9050,0.99,0.75,,,1,False,1,requested_member,516,41.852344959042966,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00000200,0,200,0.99,0.5,,,,,,cell,0,0.03197099990211427,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00003400,1,3400,0.99,0.5,,,,,,cell,0,0.027646375121548772,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00007450,2,7450,0.99,0.5,,,,,,cell,0,0.0267019581515342,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00008150,3,8150,0.99,0.5,,,,,,cell,0,0.02677012514322996,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00008500,4,8500,0.99,0.5,,,,,,cell,0,0.026904875179752707,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00008650,5,8650,0.99,0.5,,,,,,cell,0,0.026717167114838958,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00009050,6,9050,0.99,0.5,,,,,,cell,0,0.02661983296275139,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00000200-q1,0,200,0.99,,Q1,,,,,cell,1740,37.434252166887745,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00000200-q2,0,200,0.99,,Q2,,,,,cell,1486,31.755606290884316,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00000200-q3,0,200,0.99,,Q3,,,,,cell,1566,33.90098016685806,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00000200-q4,0,200,0.99,,Q4,,,,,cell,1407,30.1022580829449,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00003400-q1,1,3400,0.99,,Q1,,,,,cell,675,14.537895583780482,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00003400-q2,1,3400,0.99,,Q2,,,,,cell,707,15.105797334108502,False
