analysis_run_id,workload,record_type,cell_id,sequence_index,checkpoint_index,checkpoint_step,discovery_subset,evaluation_subset,circuit_id,source_member_index,search_status,retained_component_count,primary_fidelity,prediction_agreement_count,evaluated_example_count,exact_evaluations_used,grouping_tolerance_numerator,grouping_tolerance_denominator,grouping_tolerance,group_count,groups_json,pairwise_distances_json,scientifically_executed,raw_cell_directory
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,empty_global_family,global-family-transfer-step-00000200,24,0,200,,,,,,,,,,0,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/global_family_transfer/step_00000200
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,empty_global_family,global-family-transfer-step-00003400,25,1,3400,,,,,,,,,,0,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/global_family_transfer/step_00003400
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,empty_global_family,global-family-transfer-step-00007450,26,2,7450,,,,,,,,,,0,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/global_family_transfer/step_00007450
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,empty_global_family,global-family-transfer-step-00008150,27,3,8150,,,,,,,,,,0,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/global_family_transfer/step_00008150
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,empty_global_family,global-family-transfer-step-00008500,28,4,8500,,,,,,,,,,0,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/global_family_transfer/step_00008500
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,empty_global_family,global-family-transfer-step-00008650,29,5,8650,,,,,,,,,,0,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/global_family_transfer/step_00008650
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,empty_global_family,global-family-transfer-step-00009050,30,6,9050,,,,,,,,,,0,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/global_family_transfer/step_00009050
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00000200-q1,31,0,200,Q1,,,,valid_but_not_meaningfully_sparse,508,0.9901508156355802,3217,3249,1740,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00000200/Q1
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00000200-q2,32,0,200,Q2,,,,valid_but_not_meaningfully_sparse,510,0.9906015037593985,3162,3192,1486,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00000200/Q2
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00000200-q3,33,0,200,Q3,,,,valid_but_not_meaningfully_sparse,510,0.9902882205513784,3161,3192,1566,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00000200/Q3
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00000200-q4,34,0,200,Q4,,,,valid_but_not_meaningfully_sparse,511,0.9901147959183674,3105,3136,1407,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00000200/Q4
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00003400-q1,35,1,3400,Q1,,,,valid_but_not_meaningfully_sparse,515,0.9907663896583564,3219,3249,675,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00003400/Q1
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00003400-q2,36,1,3400,Q2,,,,valid_but_not_meaningfully_sparse,515,0.9906015037593985,3162,3192,707,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00003400/Q2
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00003400-q3,37,1,3400,Q3,,,,valid_but_not_meaningfully_sparse,514,0.9912280701754386,3164,3192,930,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00003400/Q3
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00003400-q4,38,1,3400,Q4,,,,valid_but_not_meaningfully_sparse,515,0.9923469387755102,3112,3136,739,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00003400/Q4
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00007450-q1,39,2,7450,Q1,,,,valid_but_not_meaningfully_sparse,515,0.9907663896583564,3219,3249,643,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00007450/Q1
