component_identifier,component_type,component_index,primary_fidelity,prediction_agreement_count,prediction_disagreement_count,ground_truth_accuracy_change,cross_entropy_change,mean_kl_divergence,mean_jensen_shannon_divergence,maximum_absolute_logit_change,total_delta_fourier_power,addition_manifold_delta_power,addition_manifold_delta_fraction,correct_shift_rank,correct_shift_selectivity,dominant_canonical_frequency_pair,activation_diagonal_power_fraction,activation_near_constant,retained_at_threshold_0_99,retained_at_threshold_0_975,retained_at_threshold_0_95,retained_at_threshold_0_9,retained_at_threshold_0_85,retained_at_threshold_0_8
H0,attention_head,0,0.9259143237528389,11823,946,-0.07377241757381159,0.2895819260076719,0.2882654519103737,0.048861551411853464,55.09275817871094,60069605.27820015,30415712.6407152,0.5063411437423472,1,1528.7720813425271,56,,,True,True,True,True,True,True
H1,attention_head,1,0.8258281776176678,10545,2224,-0.17354530503563315,0.8156274109919969,0.8139150125078952,0.1123821645362812,65.43605041503906,97831859.83610025,53027786.17846446,0.5420298281899476,1,1515.0565846075722,56,,,True,True,True,True,True,True
H2,attention_head,2,0.8329548124363694,10636,2133,-0.1665752995536064,0.8076178968547842,0.8054806399223409,0.10832965596066818,54.659080505371094,82601497.90091209,43448541.20048437,0.5260018559542927,1,1485.4258383951328,56,,,True,True,True,True,True,True
H3,attention_head,3,0.9144020675072441,11676,1093,-0.08528467381940641,0.33816441734292385,0.3360592079167977,0.05855998973470358,44.65779113769531,57734176.530530065,29091439.17149159,0.5038859289195529,1,1612.7817008854367,56,,,True,True,True,True,True,True
N0,mlp_neuron,4,1.0,12769,0,0.0,0.0004312348270639418,0.0002543722560816809,7.238958161785186e-05,7.859889984130859,1792763.908761297,62386.452574152645,0.03479903420035844,1,87.20526043121878,48,0.12010014858627278,False,False,False,False,False,False,False
N1,mlp_neuron,5,1.0,12769,0,0.0,0.0004402915308344428,0.0001985150498584755,5.904041907088184e-05,8.621406555175781,2123198.7817114564,60115.755462511865,0.028313766935215593,1,75.26501554412009,56,0.1076557021357438,False,True,True,True,True,True,True
N2,mlp_neuron,6,1.0,12769,0,0.0,-1.789423977323736e-05,8.056286374445152e-06,2.0412468088480824e-06,1.5698394775390625,83095.82395878152,2045.6897089733918,0.02461844183635662,1,75.47748713863876,56,0.10328428660562307,False,False,False,False,False,False,False
N3,mlp_neuron,7,1.0,12769,0,0.0,3.6053265146450885e-05,2.193965554240876e-06,5.526838890734736e-07,0.7536392211914062,13628.081619666622,257.3891283698045,0.01888667352845667,1,61.43721749748489,17,0.08642632376041061,False,False,False,False,False,False,False
N4,mlp_neuron,8,1.0,12769,0,0.0,0.00020570014084705913,7.449941153716407e-05,2.011166066194153e-05,5.312614440917969,784689.534198715,26188.20973940322,0.03337397607341009,1,85.8631442480928,17,0.11761569769177259,False,False,False,False,False,False,False
N5,mlp_neuron,9,1.0,12769,0,0.0,7.172024345711921e-05,5.435819511193311e-05,1.4725085116768914e-05,6.749485015869141,921483.8631251992,29945.80709227288,0.032497375472981274,1,76.00364852554412,17,0.1152739343253436,False,False,False,False,False,False,False
N6,mlp_neuron,10,1.0,12769,0,0.0,2.347062537558231e-06,3.165090721064649e-06,7.629087241490581e-07,1.8553581237792969,18138.417349222254,101.09065631114251,0.005573289795070081,1,36.79521835973872,3,0.031997605077149695,False,False,False,False,False,False,False
N7,mlp_neuron,11,0.9998433706633253,12767,2,0.0,7.66980848184867e-05,0.0001589960409621898,4.3258912111722385e-05,3.188934326171875,302158.32246189215,8777.216345267843,0.029048401757574675,1,73.63845661192755,1,0.10824877788704207,False,False,False,False,False,False,False
N8,mlp_neuron,12,1.0,12769,0,0.0,6.197798832270184e-06,1.7941256684768214e-05,4.1931258878607855e-06,3.236621856689453,124398.8671693297,1049.43262740084,0.008436030417964896,1,22.914375014909847,1,0.07076007139517079,False,False,False,False,False,False,False
N9,mlp_neuron,13,1.0,12769,0,0.0,4.5467619435576824e-05,5.77742746722751e-06,1.4423968937935507e-06,1.3174934387207031,19301.40625824198,257.0215094002647,0.01331620639250121,1,40.53486424816218,17,0.10180801961535323,False,True,True,True,False,False,False
N10,mlp_neuron,14,1.0,12769,0,0.0,-2.1396772823649175e-06,1.1334933733434018e-06,2.8592351148601844e-07,0.8083038330078125,6969.8794521002255,14.749333741828073,0.002116153348589648,1,13.520553200475367,1,0.0289435709730248,False,False,False,False,False,False,False
