fidelity_threshold,selection_role,removed_component,removed_component_type,original_retained_components,remaining_retained_components,original_primary_fidelity,removal_primary_fidelity,primary_fidelity_change,original_accuracy,removal_accuracy,accuracy_change,original_cross_entropy,removal_cross_entropy,cross_entropy_change,addition_manifold_power,total_fourier_power,addition_manifold_fraction,correct_shift_rank,correct_shift_selectivity,diagnostic_classification
0.99,highest_associated_retained_overall,H1,attention_head,146,145,0.9900540371211528,0.7316939462761375,-0.2583600908450153,0.9895841491111285,0.7316939462761375,-0.257890202834991,0.09248444461917989,0.9988549964282257,0.9063705518090458,24565217.170610495,44093132.39172141,0.5571211623700082,1,1301.3131601187724,clear_match
0.99,highest_associated_retained_mlp_neuron,N60,mlp_neuron,146,145,0.9900540371211528,0.963270420549769,-0.02678361657138384,0.9895841491111285,0.9628005325397447,-0.026783616571383728,0.09248444461917989,0.15926234321220545,0.06677789859302556,60159279.52772188,84287575.89607537,0.7137383996177192,1,1496.8783918278043,clear_match
0.99,lowest_associated_retained_component,N26,mlp_neuron,146,145,0.9900540371211528,0.9896624637794659,-0.0003915733416869349,0.9895841491111285,0.9891925757694416,-0.0003915733416868239,0.09248444461917989,0.09311633857978366,0.0006318939606037716,63566723.50100523,86878253.28721917,0.7316758923646162,1,1448.335790295255,clear_match
0.975,highest_associated_retained_overall,H1,attention_head,119,118,0.9750176208003759,0.6858015506304331,-0.2892160701699428,0.974626047458689,0.6858015506304331,-0.28882449682825584,0.15900301516753323,1.1723768260705565,1.0133738109030233,22265893.945317194,41371162.22082929,0.5381984152745629,1,1085.5969332952743,clear_match
0.975,highest_associated_retained_mlp_neuron,N60,mlp_neuron,119,118,0.9750176208003759,0.9349205106116376,-0.040097110188738294,0.974626047458689,0.9344506226016133,-0.0401754248570757,0.15900301516753323,0.2532195662234047,0.09421655105587146,54778333.07812354,79065101.2779835,0.6928256865886939,1,1264.5320606996513,clear_match
0.975,lowest_associated_retained_component,N426,mlp_neuron,119,118,0.9750176208003759,0.97399953011199,-0.0010180906883858754,0.974626047458689,0.9736079567703031,-0.0010180906883858754,0.15900301516753323,0.16038773353600994,0.0013847183684767006,57962192.10660162,81552189.6126877,0.7107374109987599,1,1202.443557744591,clear_match
0.95,highest_associated_retained_overall,H1,attention_head,108,107,0.950896702952463,0.6522045579136972,-0.29869214503876573,0.9505834442791135,0.6522045579136972,-0.2983788863654162,0.23088000813250406,1.2628041311477962,1.0319241230152922,20710409.889620733,38479717.16251818,0.538216271241049,1,1130.5903514924325,clear_match
0.95,highest_associated_retained_mlp_neuron,N60,mlp_neuron,108,107,0.950896702952463,0.9179262275824261,-0.032970475370036834,0.9505834442791135,0.9176129689090766,-0.032970475370036834,0.23088000813250406,0.3190707326296174,0.08819072449711332,50683827.43097623,71477898.19982894,0.7090839085570304,1,1353.7426636224745,clear_match
0.95,lowest_associated_retained_component,N171,mlp_neuron,108,107,0.950896702952463,0.9497219829274023,-0.0011747200250606937,0.9505834442791135,0.9494087242540528,-0.0011747200250606937,0.23088000813250406,0.23300364803100584,0.0021236398985017835,53714811.74149502,74765542.89567214,0.7184434120467591,1,1265.5725977667264,clear_match
0.9,highest_associated_retained_overall,H1,attention_head,82,81,0.9003054272065157,0.5745164069230166,-0.3257890202834991,0.8999921685331662,0.5743597775863419,-0.3256323909468243,0.3809693600525678,1.539453044525392,1.1584836844728241,18692734.778899413,35604782.382202625,0.5250062920829183,1,1164.1986812549274,clear_match
0.9,highest_associated_retained_mlp_neuron,N60,mlp_neuron,82,81,0.9003054272065157,0.8727386639517581,-0.027566763254757598,0.8999921685331662,0.8724254052784086,-0.027566763254757598,0.3809693600525678,0.4368908800349908,0.05592151998242301,45987630.56200026,64990204.29378489,0.7076086475142551,1,1327.6703743233945,clear_match
0.9,lowest_associated_retained_component,N231,mlp_neuron,82,81,0.9003054272065157,0.898504189834756,-0.0018012373717597452,0.8999921685331662,0.8981909311614066,-0.0018012373717596342,0.3809693600525678,0.3855136500825967,0.004544290030028875,48709036.25523208,68969251.62879069,0.7062427836305369,1,1285.3012515724963,clear_match
0.85,highest_associated_retained_overall,H1,attention_head,77,76,0.8512021301589788,0.5308951366590963,-0.32030699349988256,0.8508888714856293,0.5307385073224214,-0.32015036416320786,0.4973451098711865,1.7479713468236884,1.2506262369525019,18393098.089705642,35448557.02382882,0.5188673287135961,1,1171.7773173874348,clear_match
0.85,highest_associated_retained_mlp_neuron,N60,mlp_neuron,77,76,0.8512021301589788,0.8325632390946824,-0.018638891064296392,0.8508888714856293,0.8322499804213329,-0.018638891064296392,0.4973451098711865,0.5413062839484907,0.043961174077304155,44989334.56492588,64038173.24157366,0.7025393181534221,1,1326.0141276039444,clear_match
0.85,lowest_associated_retained_component,N231,mlp_neuron,77,76,0.8512021301589788,0.8494792074555564,-0.001722922703422447,0.8508888714856293,0.8491659487822069,-0.001722922703422447,0.4973451098711865,0.5019818541949462,0.004636744323759712,47708437.43731378,68078410.85464033,0.7007865906150466,1,1283.5697993629033,clear_match
0.8,highest_associated_retained_overall,H1,attention_head,64,63,0.8010024277547184,0.4987861226407706,-0.3022163051139478,0.8006891690813689,0.49862949330409584,-0.30205967577727305,0.6440917372098328,1.8638471778880221,1.2197554406781892,15887396.28113683,30881656.799494784,0.5144606192695187,1,1150.572783480208,clear_match
0.8,highest_associated_retained_mlp_neuron,N162,mlp_neuron,64,63,0.8010024277547184,0.714464719241914,-0.0865377085128044,0.8006891690813689,0.7143080899052392,-0.0863810791761297,0.6440917372098328,0.9042067848124299,0.26011504760259707,40576180.16385736,61329831.21043697,0.6616059324316582,1,1243.2797554021147,clear_match
0.8,lowest_associated_retained_component,N341,mlp_neuron,64,63,0.8010024277547184,0.7976348970162112,-0.003367530738507263,0.8006891690813689,0.7973216383428616,-0.003367530738507263,0.6440917372098328,0.6514555071289225,0.007363769919089713,42056920.69167692,60874157.45373291,0.690883002752721,1,1207.9063754667238,clear_match
