stage12_run_id,cell_id,checkpoint_step,distinctness_cutoff,member_index,member_label,selected_restart_index,mask_id,retained_attention_head_count,retained_mlp_neuron_count,retained_component_count,retained_component_proportion,primary_fidelity,prediction_agreement_count,evaluated_example_count,maximum_pairwise_overlap_numerator,maximum_pairwise_overlap_denominator,maximum_pairwise_overlap,exact_evaluations_used,ranking_passes_used,accepted_removal_count,rejected_candidate_count,candidate_batches_tested,locally_single_deletion_minimal,meaningfully_sparse
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,1,C1,0,component-mask-d62afd57f53ac8a2,4,142,146,0.28294573643410853,0.9900540371211528,12642,12769,0,1,0.0,6098,371,370,5728,382,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,2,C2,0,component-mask-b879c6de815632a4,4,158,162,0.313953488372093,0.9900540371211528,12642,12769,19,289,0.0657439446366782,6050,355,354,5696,379,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,3,C3,0,component-mask-59b424a01b7bf6cc,4,172,176,0.34108527131782945,0.9901323517894902,12643,12769,27,134,0.20149253731343283,6144,341,340,5804,384,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,4,C4,0,component-mask-dfef7ed3928a8eea,4,158,162,0.313953488372093,0.9900540371211528,12642,12769,16,61,0.26229508196721313,6402,355,354,6048,401,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,5,C5,0,component-mask-50987713ae75271a,4,176,180,0.3488372093023256,0.9900540371211528,12642,12769,34,137,0.24817518248175183,7108,337,336,6772,445,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,6,C6,0,component-mask-38dfb0c78567708b,4,176,180,0.3488372093023256,0.9900540371211528,12642,12769,77,249,0.3092369477911647,6180,337,336,5844,387,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,7,C7,0,component-mask-b56a32cef74d4070,4,165,169,0.32751937984496127,0.9901323517894902,12643,12769,68,247,0.27530364372469635,6217,348,347,5870,389,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.25,9050,0.25,1,C1,0,component-mask-d62afd57f53ac8a2,4,142,146,0.28294573643410853,0.9900540371211528,12642,12769,0,1,0.0,6098,371,370,5728,382,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.25,9050,0.25,2,C2,0,component-mask-b879c6de815632a4,4,158,162,0.313953488372093,0.9900540371211528,12642,12769,19,289,0.0657439446366782,6050,355,354,5696,379,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.25,9050,0.25,3,C3,0,component-mask-59b424a01b7bf6cc,4,172,176,0.34108527131782945,0.9901323517894902,12643,12769,27,134,0.20149253731343283,6144,341,340,5804,384,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,1,C1,0,component-mask-d62afd57f53ac8a2,4,142,146,0.28294573643410853,0.9900540371211528,12642,12769,0,1,0.0,6098,371,370,5728,382,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,2,C2,0,component-mask-b879c6de815632a4,4,158,162,0.313953488372093,0.9900540371211528,12642,12769,19,289,0.0657439446366782,6050,355,354,5696,379,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,3,C3,0,component-mask-59b424a01b7bf6cc,4,172,176,0.34108527131782945,0.9901323517894902,12643,12769,27,134,0.20149253731343283,6144,341,340,5804,384,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,4,C4,0,component-mask-dfef7ed3928a8eea,4,158,162,0.313953488372093,0.9900540371211528,12642,12769,16,61,0.26229508196721313,6402,355,354,6048,401,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,5,C5,0,component-mask-50987713ae75271a,4,176,180,0.3488372093023256,0.9900540371211528,12642,12769,34,137,0.24817518248175183,7108,337,336,6772,445,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,6,C6,0,component-mask-38dfb0c78567708b,4,176,180,0.3488372093023256,0.9900540371211528,12642,12769,77,249,0.3092369477911647,6180,337,336,5844,387,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,7,C7,0,component-mask-b56a32cef74d4070,4,165,169,0.32751937984496127,0.9901323517894902,12643,12769,68,247,0.27530364372469635,6217,348,347,5870,389,True,True
