stage12_run_id,cell_id,checkpoint_step,distinctness_cutoff,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,most_overlapping_prior_member_index,most_overlapping_prior_member_label,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,runtime_seconds,restart_count,status,failure_reason,family_right_censored,scientific_family_result,runtime_included_in_deterministic_scientific_hashes,runtime_comparison_policy,frontier_scalar_score
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,1,C1,True,0,0.9900540371211528,146,0.28294573643410853,0,1,0.0,,,,6098,6098,371,525.4303206671029,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,2,C2,True,0,0.9900540371211528,162,0.313953488372093,19,289,0.0657439446366782,0.0657439446366782,1,C1,12148,6050,355,516.0708367920015,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,3,C3,True,0,0.9901323517894902,176,0.34108527131782945,27,134,0.20149253731343283,0.15666732128829536,1,C1,18292,6144,341,522.2808855830226,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,4,C4,True,0,0.9900540371211528,162,0.313953488372093,16,61,0.26229508196721313,0.20386775268928067,1,C1,24694,6402,355,545.4931071670726,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,5,C5,True,0,0.9900540371211528,180,0.3488372093023256,34,137,0.24817518248175183,0.2073319681737112,2,C2,31802,7108,337,600.886020957958,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,6,C6,True,0,0.9900540371211528,180,0.3488372093023256,77,249,0.3092369477911647,0.2262718779448201,1,C1,37982,6180,337,526.5131100411527,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,7,C7,True,0,0.9901323517894902,169,0.32751937984496127,68,247,0.27530364372469635,0.22667975223865194,1,C1,44199,6217,348,529.0039832501207,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,8,C8,False,0,0.9902106664578275,179,0.34689922480620156,77,278,0.27697841726618705,0.24087787713413658,3,C3,50000,5801,338,494.81326041696593,1,budget_exhaustion,budget_exhausted_inside_candidate_batch,False,False,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.25,9050,0.25,1,C1,True,0,0.9900540371211528,146,0.28294573643410853,0,1,0.0,,,,6098,6098,371,524.2005648328923,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.25,9050,0.25,2,C2,True,0,0.9900540371211528,162,0.313953488372093,19,289,0.0657439446366782,0.0657439446366782,1,C1,12148,6050,355,517.4662251670379,1,valid_distinct_candidate,,False,True,False,semantic,
stage12-diversity-s1-020ebf1b5814,cutoff-0.25,9050,0.25,3,C3,True,0,0.9901323517894902,176,0.34108527131782945,27,134,0.20149253731343283,0.15666732128829536,1,C1,18292,6144,341,525.077183250105,1,valid_distinct_candidate,,False,True,False,semantic,
