stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,circuit_count,minimum_retained_components,maximum_retained_components,mean_retained_components,median_retained_components,minimum_retained_proportion,maximum_retained_proportion,mean_retained_proportion,median_retained_proportion
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,0.800,1,4,0.25,3,64,86,71.33333333333333,64,0.12403100775193798,0.16666666666666666,0.13824289405684753,0.12403100775193798
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,6,64,86,73,71.0,0.12403100775193798,0.16666666666666666,0.14147286821705427,0.1375968992248062
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,6,64,86,73,71.0,0.12403100775193798,0.16666666666666666,0.14147286821705427,0.1375968992248062
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,0.850,1,4,0.25,2,77,82,79.5,79.5,0.14922480620155038,0.15891472868217055,0.15406976744186046,0.15406976744186046
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,6,67,82,72.83333333333333,71.5,0.1298449612403101,0.15891472868217055,0.14114987080103358,0.1385658914728682
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,6,67,82,72.83333333333333,71.5,0.1298449612403101,0.15891472868217055,0.14114987080103358,0.1385658914728682
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,3,82,109,92.33333333333333,86,0.15891472868217055,0.21124031007751937,0.1789405684754522,0.16666666666666666
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,7,82,109,90.42857142857143,89,0.15891472868217055,0.21124031007751937,0.17524916943521596,0.17248062015503876
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,7,82,109,90.42857142857143,89,0.15891472868217055,0.21124031007751937,0.17524916943521596,0.17248062015503876
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,4,92,115,105,106.5,0.17829457364341086,0.22286821705426357,0.20348837209302326,0.2063953488372093
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,7,92,123,105.28571428571429,105,0.17829457364341086,0.23837209302325582,0.2040420819490587,0.20348837209302326
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,7,92,123,105.28571428571429,105,0.17829457364341086,0.23837209302325582,0.2040420819490587,0.20348837209302326
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,39,40,0.975,1,4,0.25,4,119,151,137.5,140.0,0.23062015503875968,0.2926356589147287,0.2664728682170543,0.2713178294573644
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,39,40,0.975,1,2,0.50,7,119,151,138.14285714285714,138,0.23062015503875968,0.2926356589147287,0.267718715393134,0.26744186046511625
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,39,40,0.975,3,4,0.75,7,119,151,138.14285714285714,138,0.23062015503875968,0.2926356589147287,0.267718715393134,0.26744186046511625
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,99,100,0.990,1,4,0.25,3,146,176,161.33333333333334,162,0.28294573643410853,0.34108527131782945,0.31266149870801035,0.313953488372093
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,99,100,0.990,1,2,0.50,7,146,180,167.85714285714286,169,0.28294573643410853,0.3488372093023256,0.3253045404208195,0.32751937984496127
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,99,100,0.990,3,4,0.75,7,146,180,167.85714285714286,169,0.28294573643410853,0.3488372093023256,0.3253045404208195,0.32751937984496127
