stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,right_censored,reference_cell,primary_cell,zero_family
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,0.800,1,4,0.25,3,False,False,False,False
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,6,False,False,False,False
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,6,False,False,False,False
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,0.850,1,4,0.25,2,False,False,False,False
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,6,False,False,False,False
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,6,False,False,False,False
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,3,False,False,False,False
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,7,False,False,False,False
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,7,False,False,False,False
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,4,False,False,False,False
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,7,False,False,False,False
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,7,False,False,False,False
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,39,40,0.975,1,4,0.25,4,False,False,False,False
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,39,40,0.975,1,2,0.50,7,False,False,False,False
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,39,40,0.975,3,4,0.75,7,False,False,False,False
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,99,100,0.990,1,4,0.25,3,False,True,False,False
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,99,100,0.990,1,2,0.50,7,False,True,True,False
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,99,100,0.990,3,4,0.75,7,False,True,False,False
