stage17_run_id,cell_index,cell_id,model_seed,checkpoint_step,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,primary_cell,search_execution_mode,source_stage,source_run_id,family_size,family_target,right_censored,right_censoring_status,status,stopping_reason,exact_evaluations_used,ranking_passes,restarts_attempted,accepted_circuit_count,failed_requested_member_count,budget_remaining,transfer_group_count,transfer_group_status,pair_count,minimum_pairwise_jaccard_overlap,maximum_pairwise_jaccard_overlap,mean_pairwise_overlap,median_pairwise_overlap,minimum_structural_distance,maximum_structural_distance,mean_structural_distance,cutoff_compliance
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,1,9050,4,5,0.800,1,4,0.25,False,fresh_execution,,,3,10,False,not_right_censored,budget_exhaustion,requested_member_4_budget_exhaustion,31782,1956,5,3,1,18218,2,complete,3,0.11940298507462686,0.2,0.15751871274259333,0.15315315315315314,0.8,0.8805970149253731,0.8424812872574067,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,1,9050,4,5,0.800,1,2,0.50,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3086,7,6,1,0,2,complete,15,0.11940298507462686,0.2980769230769231,0.21256592383208106,0.2,0.7019230769230769,0.8805970149253731,0.7874340761679189,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,1,9050,4,5,0.800,3,4,0.75,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3086,7,6,1,0,2,complete,15,0.11940298507462686,0.2980769230769231,0.21256592383208106,0.2,0.7019230769230769,0.8805970149253731,0.7874340761679189,True
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,1,9050,17,20,0.850,1,4,0.25,False,fresh_execution,,,2,10,False,not_right_censored,budget_exhaustion,requested_member_3_budget_exhaustion,24255,1493,4,2,1,25745,1,complete,1,0.14388489208633093,0.14388489208633093,0.14388489208633093,0.14388489208633093,0.8561151079136691,0.8561151079136691,0.8561151079136691,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,1,9050,17,20,0.850,1,2,0.50,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3087,7,6,1,0,2,complete,15,0.14388489208633093,0.30701754385964913,0.22593797731792606,0.23214285714285715,0.6929824561403508,0.8561151079136691,0.7740620226820739,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,1,9050,17,20,0.850,3,4,0.75,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3087,7,6,1,0,2,complete,15,0.14388489208633093,0.30701754385964913,0.22593797731792606,0.23214285714285715,0.6929824561403508,0.8561151079136691,0.7740620226820739,True
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,1,9050,9,10,0.900,1,4,0.25,False,fresh_execution,,,3,10,False,not_right_censored,budget_exhaustion,requested_member_4_budget_exhaustion,30645,1891,5,3,1,19355,1,complete,3,0.1016949152542373,0.18633540372670807,0.1462384168292649,0.1506849315068493,0.8136645962732919,0.8983050847457628,0.8537615831707351,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,1,9050,9,10,0.900,1,2,0.50,False,fresh_execution,,,7,10,False,not_right_censored,budget_exhaustion,requested_member_8_budget_exhaustion,50000,3075,8,7,1,0,1,complete,21,0.1016949152542373,0.291044776119403,0.20485124468206406,0.2,0.708955223880597,0.8983050847457628,0.7951487553179359,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,1,9050,9,10,0.900,3,4,0.75,False,fresh_execution,,,7,10,False,not_right_censored,budget_exhaustion,requested_member_8_budget_exhaustion,50000,3075,8,7,1,0,1,complete,21,0.1016949152542373,0.291044776119403,0.20485124468206406,0.2,0.708955223880597,0.8983050847457628,0.7951487553179359,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,1,9050,19,20,0.950,1,4,0.25,False,fresh_execution,,,4,10,False,not_right_censored,budget_exhaustion,requested_member_5_budget_exhaustion,37172,2264,6,4,1,12828,1,complete,6,0.11518324607329843,0.21951219512195122,0.1587452548492027,0.15713197195976836,0.7804878048780488,0.8848167539267016,0.8412547451507973,True
