stage17_run_id,cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,1,C1,True,0,0.8010024277547184,64,0.12403100775193798,0,1,0.0,,7328,7328,453,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,2,C2,True,0,0.8012373717597306,64,0.12403100775193798,17,111,0.15315315315315314,0.15315315315315314,14624,7296,453,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,3,C3,True,0,0.8001409664030072,86,0.16666666666666666,1,5,0.2,0.15970149253731344,21782,7158,431,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,C4,False,1,0.9989035946432767,333,,40,379,0.10554089709762533,,31782,10000,619,2,budget_exhaustion,requested_member_4_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,1,C1,True,0,0.8010024277547184,64,0.12403100775193798,0,1,0.0,,7328,7328,453,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,2,C2,True,0,0.8012373717597306,64,0.12403100775193798,17,111,0.15315315315315314,0.15315315315315314,14624,7296,453,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,3,C3,True,0,0.8001409664030072,86,0.16666666666666666,1,5,0.2,0.15970149253731344,21782,7158,431,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,C4,True,0,0.8010024277547184,82,0.15891472868217055,15,58,0.25862068965517243,0.20090223705351626,28840,7058,435,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,5,C5,True,0,0.8007674837497063,71,0.1375968992248062,28,107,0.2616822429906542,0.23373678753163227,36047,7207,446,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,6,C6,True,0,0.8006891690813689,71,0.1375968992248062,31,104,0.2980769230769231,0.23565577159327158,43254,7207,446,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,7,C7,False,0,0.9056308246534576,95,,35,124,0.28225806451612906,,50000,6746,422,1,budget_exhaustion,requested_member_7_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,1,C1,True,0,0.8010024277547184,64,0.12403100775193798,0,1,0.0,,7328,7328,453,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,2,C2,True,0,0.8012373717597306,64,0.12403100775193798,17,111,0.15315315315315314,0.15315315315315314,14624,7296,453,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,3,C3,True,0,0.8001409664030072,86,0.16666666666666666,1,5,0.2,0.15970149253731344,21782,7158,431,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,C4,True,0,0.8010024277547184,82,0.15891472868217055,15,58,0.25862068965517243,0.20090223705351626,28840,7058,435,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,5,C5,True,0,0.8007674837497063,71,0.1375968992248062,28,107,0.2616822429906542,0.23373678753163227,36047,7207,446,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,6,C6,True,0,0.8006891690813689,71,0.1375968992248062,31,104,0.2980769230769231,0.23565577159327158,43254,7207,446,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,7,C7,False,0,0.9056308246534576,95,,35,124,0.28225806451612906,,50000,6746,422,1,budget_exhaustion,requested_member_7_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,1,C1,True,0,0.8512021301589788,77,0.14922480620155038,0,1,0.0,,7101,7101,440,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,2,C2,True,0,0.8504972981439424,82,0.15891472868217055,20,139,0.14388489208633093,0.14388489208633093,14255,7154,435,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,3,C3,False,1,0.9994517973216384,349,,13,129,0.10077519379844961,,24255,10000,618,2,budget_exhaustion,requested_member_3_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,1,C1,True,0,0.8512021301589788,77,0.14922480620155038,0,1,0.0,,7101,7101,440,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,2,C2,True,0,0.8504972981439424,82,0.15891472868217055,20,139,0.14388489208633093,0.14388489208633093,14255,7154,435,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,3,C3,True,0,0.8504972981439424,67,0.1298449612403101,5,19,0.2631578947368421,0.21361019736842105,21570,7315,450,1,accepted,,False,fresh_execution
