stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,0.800,1,4,0.25,fresh_execution,,,C1,C2,1,2,17,111,17,111,0.15315315315315314,0.8468468468468469,True
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,0.800,1,4,0.25,fresh_execution,,,C1,C3,1,3,25,125,1,5,0.2,0.8,True
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,0.800,1,4,0.25,fresh_execution,,,C2,C3,2,3,16,134,8,67,0.11940298507462686,0.8805970149253731,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C2,1,2,17,111,17,111,0.15315315315315314,0.8468468468468469,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C3,1,3,25,125,1,5,0.2,0.8,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C4,1,4,30,116,15,58,0.25862068965517243,0.7413793103448276,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C5,1,5,28,107,28,107,0.2616822429906542,0.7383177570093458,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C6,1,6,31,104,31,104,0.2980769230769231,0.7019230769230769,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C2,C3,2,3,16,134,8,67,0.11940298507462686,0.8805970149253731,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C2,C4,2,4,22,124,11,62,0.1774193548387097,0.8225806451612903,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C2,C5,2,5,27,108,1,4,0.25,0.75,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C2,C6,2,6,24,111,8,37,0.21621621621621623,0.7837837837837838,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C3,C4,3,4,24,144,1,6,0.16666666666666666,0.8333333333333334,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C3,C5,3,5,25,132,25,132,0.1893939393939394,0.8106060606060606,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C3,C6,3,6,25,132,25,132,0.1893939393939394,0.8106060606060606,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C4,C5,4,5,29,124,29,124,0.23387096774193547,0.7661290322580645,True
