stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,distinctness_numerator,distinctness_denominator,search_execution_mode,source_stage,source_run_id,requested_member_index,restart_index,restart_used,seed_integer,seed_sha256_digest,outcome_status,accepted_candidate,search_status,stopping_reason,failure_detail,retained_component_count,primary_fidelity,maximum_pairwise_overlap_numerator,maximum_pairwise_overlap_denominator,maximum_pairwise_overlap,exact_evaluation_budget,exact_evaluations_used,ranking_passes_used,candidate_batches_tested,rejected_candidate_count,budget_remaining,budget_exhausted,locally_single_deletion_minimal,meaningfully_sparse
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,1,4,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,64,0.8010024277547184,0,1,0.0,10000,7328,453,458,6876,2672,False,True,True
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,1,4,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,64,0.8012373717597306,17,111,0.15315315315315314,10000,7296,453,456,6844,2704,False,True,True
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,1,4,fresh_execution,,,3,0,True,626619067,255972bbd5d55eb9b4d047e7c1fe7f0751a54bcfa76b3a054ae3ef6055562c67,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,86,0.8001409664030072,1,5,0.2,10000,7158,431,448,6728,2842,False,True,True
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,1,4,fresh_execution,,,4,0,True,3199715378,beb7c8323a354015a8c959720ce22efc9508d07aa7ea0df30e5924d3d5a6ec33,distinctness_failure,False,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,82,0.8010024277547184,15,58,0.25862068965517243,10000,7058,435,442,6624,2942,False,True,True
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,1,4,fresh_execution,,,4,1,True,4284297736,ff5d320814c4187502d4a04a36973d17546ebe582f42d9e51c2d3e3dc7f2b85f,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,333,0.9989035946432767,40,379,0.10554089709762533,2942,2942,184,184,2759,0,True,False,False
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,64,0.8010024277547184,0,1,0.0,10000,7328,453,458,6876,2672,False,True,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,64,0.8012373717597306,17,111,0.15315315315315314,10000,7296,453,456,6844,2704,False,True,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,3,0,True,626619067,255972bbd5d55eb9b4d047e7c1fe7f0751a54bcfa76b3a054ae3ef6055562c67,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,86,0.8001409664030072,1,5,0.2,10000,7158,431,448,6728,2842,False,True,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,4,0,True,3199715378,beb7c8323a354015a8c959720ce22efc9508d07aa7ea0df30e5924d3d5a6ec33,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,82,0.8010024277547184,15,58,0.25862068965517243,10000,7058,435,442,6624,2942,False,True,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,5,0,True,2111434523,7dd9ef1bc0f2cbed0ba239eb4a5d10a41755ae719e588e4a48f604da286a4cd5,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,71,0.8007674837497063,28,107,0.2616822429906542,10000,7207,446,451,6762,2793,False,True,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,6,0,True,296572439,11ad56173f0275a7354c549fcf1db6840e375173923cf86014b3d36d60409f95,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,71,0.8006891690813689,31,104,0.2980769230769231,10000,7207,446,451,6762,2793,False,True,True
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,7,0,True,395944236,1799a12cebc92cd17308de9d8cc317043ab0d50531ee23f630c1433c2655dc61,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,95,0.9056308246534576,35,124,0.28225806451612906,6746,6746,422,422,6325,0,True,False,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,64,0.8010024277547184,0,1,0.0,10000,7328,453,458,6876,2672,False,True,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,64,0.8012373717597306,17,111,0.15315315315315314,10000,7296,453,456,6844,2704,False,True,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,3,0,True,626619067,255972bbd5d55eb9b4d047e7c1fe7f0751a54bcfa76b3a054ae3ef6055562c67,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,86,0.8001409664030072,1,5,0.2,10000,7158,431,448,6728,2842,False,True,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,4,0,True,3199715378,beb7c8323a354015a8c959720ce22efc9508d07aa7ea0df30e5924d3d5a6ec33,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,82,0.8010024277547184,15,58,0.25862068965517243,10000,7058,435,442,6624,2942,False,True,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,5,0,True,2111434523,7dd9ef1bc0f2cbed0ba239eb4a5d10a41755ae719e588e4a48f604da286a4cd5,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,71,0.8007674837497063,28,107,0.2616822429906542,10000,7207,446,451,6762,2793,False,True,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,6,0,True,296572439,11ad56173f0275a7354c549fcf1db6840e375173923cf86014b3d36d60409f95,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,71,0.8006891690813689,31,104,0.2980769230769231,10000,7207,446,451,6762,2793,False,True,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,7,0,True,395944236,1799a12cebc92cd17308de9d8cc317043ab0d50531ee23f630c1433c2655dc61,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,95,0.9056308246534576,35,124,0.28225806451612906,6746,6746,422,422,6325,0,True,False,True
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,1,4,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,77,0.8512021301589788,0,1,0.0,10000,7101,440,444,6662,2899,False,True,True
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,1,4,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,82,0.8504972981439424,20,139,0.14388489208633093,10000,7154,435,448,6720,2846,False,True,True
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,1,4,fresh_execution,,,3,0,True,626619067,255972bbd5d55eb9b4d047e7c1fe7f0751a54bcfa76b3a054ae3ef6055562c67,distinctness_failure,False,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,67,0.8504972981439424,5,19,0.2631578947368421,10000,7315,450,458,6866,2685,False,True,True
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,1,4,fresh_execution,,,3,1,True,3769354016,e0abc720aa6d81ab5076a4784b37699b4402773fe7b775ab2b2f89561b16e733,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,349,0.9994517973216384,13,129,0.10077519379844961,2685,2685,168,168,2518,0,True,False,False
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,1,2,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,77,0.8512021301589788,0,1,0.0,10000,7101,440,444,6662,2899,False,True,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,1,2,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,82,0.8504972981439424,20,139,0.14388489208633093,10000,7154,435,448,6720,2846,False,True,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,1,2,fresh_execution,,,3,0,True,626619067,255972bbd5d55eb9b4d047e7c1fe7f0751a54bcfa76b3a054ae3ef6055562c67,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,67,0.8504972981439424,5,19,0.2631578947368421,10000,7315,450,458,6866,2685,False,True,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,1,2,fresh_execution,,,4,0,True,3199715378,beb7c8323a354015a8c959720ce22efc9508d07aa7ea0df30e5924d3d5a6ec33,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,71,0.8512804448273161,8,29,0.27586206896551724,10000,7207,446,451,6762,2793,False,True,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,1,2,fresh_execution,,,5,0,True,2111434523,7dd9ef1bc0f2cbed0ba239eb4a5d10a41755ae719e588e4a48f604da286a4cd5,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,72,0.8502623541389303,35,114,0.30701754385964913,10000,7176,445,449,6732,2824,False,True,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,1,2,fresh_execution,,,6,0,True,296572439,11ad56173f0275a7354c549fcf1db6840e375173923cf86014b3d36d60409f95,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,68,0.8527684235257263,30,109,0.27522935779816515,10000,7300,449,457,6852,2700,False,True,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,1,2,fresh_execution,,,7,0,True,395944236,1799a12cebc92cd17308de9d8cc317043ab0d50531ee23f630c1433c2655dc61,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,95,0.883859346855666,17,66,0.25757575757575757,6747,6747,422,422,6326,0,True,False,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,3,4,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,77,0.8512021301589788,0,1,0.0,10000,7101,440,444,6662,2899,False,True,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,3,4,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,82,0.8504972981439424,20,139,0.14388489208633093,10000,7154,435,448,6720,2846,False,True,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,3,4,fresh_execution,,,3,0,True,626619067,255972bbd5d55eb9b4d047e7c1fe7f0751a54bcfa76b3a054ae3ef6055562c67,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,67,0.8504972981439424,5,19,0.2631578947368421,10000,7315,450,458,6866,2685,False,True,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,3,4,fresh_execution,,,4,0,True,3199715378,beb7c8323a354015a8c959720ce22efc9508d07aa7ea0df30e5924d3d5a6ec33,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,71,0.8512804448273161,8,29,0.27586206896551724,10000,7207,446,451,6762,2793,False,True,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,3,4,fresh_execution,,,5,0,True,2111434523,7dd9ef1bc0f2cbed0ba239eb4a5d10a41755ae719e588e4a48f604da286a4cd5,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,72,0.8502623541389303,35,114,0.30701754385964913,10000,7176,445,449,6732,2824,False,True,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,3,4,fresh_execution,,,6,0,True,296572439,11ad56173f0275a7354c549fcf1db6840e375173923cf86014b3d36d60409f95,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,68,0.8527684235257263,30,109,0.27522935779816515,10000,7300,449,457,6852,2700,False,True,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,3,4,fresh_execution,,,7,0,True,395944236,1799a12cebc92cd17308de9d8cc317043ab0d50531ee23f630c1433c2655dc61,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,95,0.883859346855666,17,66,0.25757575757575757,6747,6747,422,422,6326,0,True,False,True
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,1,4,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,82,0.9003054272065157,0,1,0.0,10000,7042,435,441,6608,2958,False,True,True
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,1,4,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,86,0.9000704832015036,11,73,0.1506849315068493,10000,6982,431,437,6552,3018,False,True,True
