stage17_run_id,summary_dimension,summary_value,cell_count,zero_family_cell_count,c1_qualified_cell_count,budget_exhausted_cell_count,total_recovered_circuits
stage17-sensitivity-s1-7801e7938531,fidelity_threshold,0.800,3,0,3,3,15
stage17-sensitivity-s1-7801e7938531,fidelity_threshold,0.850,3,0,3,3,14
stage17-sensitivity-s1-7801e7938531,fidelity_threshold,0.900,3,0,3,3,17
stage17-sensitivity-s1-7801e7938531,fidelity_threshold,0.950,3,0,3,3,18
stage17-sensitivity-s1-7801e7938531,fidelity_threshold,0.975,3,0,3,3,18
stage17-sensitivity-s1-7801e7938531,fidelity_threshold,0.990,3,0,3,3,17
stage17-sensitivity-s1-7801e7938531,distinctness_cutoff,0.25,6,0,6,6,19
stage17-sensitivity-s1-7801e7938531,distinctness_cutoff,0.50,6,0,6,6,40
stage17-sensitivity-s1-7801e7938531,distinctness_cutoff,0.75,6,0,6,6,40
stage17-sensitivity-s1-7801e7938531,failure_reason,budget_exhaustion,18,0,18,18,99
