stage17_run_id,record_type,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,c1_qualified,failed_requested_member_count,terminal_requested_member_index,stopping_reason,failure_category,budget_exhausted,per_cell_evaluations_used,unused_budget,ranking_passes,restart_count,invalid_output_count,search_execution_mode
stage17-sensitivity-s1-7801e7938531,cell,1,s1-step9050-f4of5-d1of4,4,5,0.800,1,4,0.25,3,True,1,4,requested_member_4_budget_exhaustion,budget_exhaustion,True,31782,18218,1956,5,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,2,s1-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3086,7,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3086,7,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,4,s1-step9050-f17of20-d1of4,17,20,0.850,1,4,0.25,2,True,1,3,requested_member_3_budget_exhaustion,budget_exhaustion,True,24255,25745,1493,4,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3087,7,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3087,7,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,3,True,1,4,requested_member_4_budget_exhaustion,budget_exhaustion,True,30645,19355,1891,5,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3075,8,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3075,8,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,4,True,1,5,requested_member_5_budget_exhaustion,budget_exhaustion,True,37172,12828,2264,6,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3047,8,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,12,s1-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3047,8,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,13,s1-step9050-f39of40-d1of4,39,40,0.975,1,4,0.25,4,True,1,5,requested_member_5_budget_exhaustion,budget_exhaustion,True,35670,14330,2114,6,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,14,s1-step9050-f39of40-d1of2,39,40,0.975,1,2,0.50,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,2958,8,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,15,s1-step9050-f39of40-d3of4,39,40,0.975,3,4,0.75,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,2958,8,0,fresh_execution
stage17-sensitivity-s1-7801e7938531,cell,16,s1-step9050-f99of100-d1of4,99,100,0.990,1,4,0.25,3,True,1,4,requested_member_4_budget_exhaustion,budget_exhaustion,True,28292,21708,1647,5,0,reference_existing_result
stage17-sensitivity-s1-7801e7938531,cell,17,s1-step9050-f99of100-d1of2,99,100,0.990,1,2,0.50,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,2782,8,0,reference_existing_result
stage17-sensitivity-s1-7801e7938531,cell,18,s1-step9050-f99of100-d3of4,99,100,0.990,3,4,0.75,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,2782,8,0,reference_existing_result
