stage17_run_id,cell_index,cell_id,model_seed,checkpoint_step,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,primary_cell,search_execution_mode,search_source_stage,search_source_run_id,search_source_manifest,search_source_table,transfer_execution_mode,transfer_source_stage,transfer_source_run_id,transfer_source_manifest,transfer_source_table,expected_search_budget,output_status,transfer_grouping_status
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,1,9050,4,5,0.800,1,4,0.25,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,1,9050,4,5,0.800,1,2,0.50,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,1,9050,4,5,0.800,3,4,0.75,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,1,9050,17,20,0.850,1,4,0.25,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,1,9050,17,20,0.850,1,2,0.50,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,1,9050,17,20,0.850,3,4,0.75,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,1,9050,9,10,0.900,1,4,0.25,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,1,9050,9,10,0.900,1,2,0.50,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,1,9050,9,10,0.900,3,4,0.75,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,1,9050,19,20,0.950,1,4,0.25,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,1,9050,19,20,0.950,1,2,0.50,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,1,9050,19,20,0.950,3,4,0.75,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,1,9050,39,40,0.975,1,4,0.25,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,1,9050,39,40,0.975,1,2,0.50,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,1,9050,39,40,0.975,3,4,0.75,False,fresh_execution,,,,,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,1,9050,99,100,0.990,1,4,0.25,False,reference_existing_result,12,stage12-diversity-s1-020ebf1b5814,manifests/stage12_diversity_stage12-diversity-s1-020ebf1b5814.json,results/tables/seed_1_stage12_family_summary.csv,fresh_execution,,,,,50000,budget_exhaustion,complete
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,1,9050,99,100,0.990,1,2,0.50,True,reference_existing_result,12,stage12-diversity-s1-020ebf1b5814,manifests/stage12_diversity_stage12-diversity-s1-020ebf1b5814.json,results/tables/seed_1_stage12_family_summary.csv,reference_existing_result,16,stage16-transfer-s1-cc55bd4162c8,manifests/stage16_transfer_stage16-transfer-s1-cc55bd4162c8.json,results/tables/seed_1_stage16_transfer_profiles.csv,50000,budget_exhaustion,reference_verified
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,1,9050,99,100,0.990,3,4,0.75,False,reference_existing_result,12,stage12-diversity-s1-020ebf1b5814,manifests/stage12_diversity_stage12-diversity-s1-020ebf1b5814.json,results/tables/seed_1_stage12_family_summary.csv,fresh_execution,,,,,50000,budget_exhaustion,complete
