stage17_run_id,cell_index,cell_id,tolerance_numerator,tolerance_denominator,tolerance,group_count,group_id,ordered_members_json,within_group_maximum_distance,between_group_minimum_distance,complete_linkage_valid,transfer_execution_mode,source_stage,source_run_id
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,1,20,0.05,2,G01,"[""C1"",""C2""]",0.019770408163265252,0.05389030612244905,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,1,20,0.05,2,G02,"[""C3""]",0.0,0.05389030612244905,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,1,20,0.05,2,G01,"[""C1"",""C2""]",0.019770408163265252,0.022321428571428603,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,1,20,0.05,2,G02,"[""C3"",""C4"",""C5"",""C6""]",0.03939673745767924,0.022321428571428603,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,1,20,0.05,2,G01,"[""C1"",""C2""]",0.019770408163265252,0.022321428571428603,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,1,20,0.05,2,G02,"[""C3"",""C4"",""C5"",""C6""]",0.03939673745767924,0.022321428571428603,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,1,20,0.05,1,G01,"[""C1"",""C2""]",0.034438775510204134,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,1,20,0.05,2,G01,"[""C1""]",0.0,0.034438775510204134,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,1,20,0.05,2,G02,"[""C2"",""C3"",""C4"",""C5"",""C6""]",0.04647583871960603,0.034438775510204134,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,1,20,0.05,2,G01,"[""C1""]",0.0,0.034438775510204134,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,1,20,0.05,2,G02,"[""C2"",""C3"",""C4"",""C5"",""C6""]",0.04647583871960603,0.034438775510204134,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,1,20,0.05,1,G01,"[""C1"",""C2"",""C3""]",0.019082794706063444,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",0.03601108033240996,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",0.03601108033240996,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4""]",0.007971938775510279,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",0.018494897959183687,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",0.018494897959183687,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4""]",0.008928571428571397,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",0.013542628501077347,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",0.013542628501077347,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,1,20,0.05,1,G01,"[""C1"",""C2"",""C3""]",0.004616805170821747,,True,fresh_execution,,
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",0.00701530612244905,,True,reference_existing_result,16,stage16-transfer-s1-cc55bd4162c8
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,1,20,0.05,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",0.00701530612244905,,True,fresh_execution,,
