stage9_run_id,phase,checkpoint_step,fidelity_threshold,elapsed_runtime_seconds,runtime_telemetry_path,runtime_telemetry_sha256
stage9-sparse-s1-27fffed087e6,stable post-grokking,9050,0.99,521.4398049160372,results/raw/stage9-sparse-s1-27fffed087e6/step_00009050/threshold_09900/runtime_telemetry.json,a5e6e55c48155a4330088cf84583f53cdb4aaf991641aca475082b6138e87718
stage9-sparse-s1-27fffed087e6,stable post-grokking,9050,0.975,556.1007691249251,results/raw/stage9-sparse-s1-27fffed087e6/step_00009050/threshold_09750/runtime_telemetry.json,98b6c9c7c3ff82f902da19ec309a613c60d86fc940d5abba4f915f7fa7e0d7b5
stage9-sparse-s1-27fffed087e6,stable post-grokking,9050,0.95,573.3011140411254,results/raw/stage9-sparse-s1-27fffed087e6/step_00009050/threshold_09500/runtime_telemetry.json,b35c2131281f5df1acfc010e5a594daa4b8248040d057231824d61a8da742463
stage9-sparse-s1-27fffed087e6,stable post-grokking,9050,0.9,596.5746989999898,results/raw/stage9-sparse-s1-27fffed087e6/step_00009050/threshold_09000/runtime_telemetry.json,21c823591c24e11586a475c549a5c2489f3c0de06ec4b64af48be8d8aa9acfe4
stage9-sparse-s1-27fffed087e6,stable post-grokking,9050,0.85,605.389845417114,results/raw/stage9-sparse-s1-27fffed087e6/step_00009050/threshold_08500/runtime_telemetry.json,193c0d613fae1e801acf3d6a63e558edf2d5f5c3998982099dad3f57feceff03
stage9-sparse-s1-27fffed087e6,stable post-grokking,9050,0.8,622.967676582979,results/raw/stage9-sparse-s1-27fffed087e6/step_00009050/threshold_08000/runtime_telemetry.json,f7cf4c4bc750b2bff9ae29e4adf077f12f06abe4840192417148cc3b54c11621
stage9-sparse-s1-27fffed087e6,pre-grokking,200,0.99,48.7050150828436,results/raw/stage9-sparse-s1-27fffed087e6/step_00000200/threshold_09900/runtime_telemetry.json,3384e2b895fea3fd8a0cba16dc780b1b6b5b0441fd5e6e9005eecbeef4f8d915
stage9-sparse-s1-27fffed087e6,pre-grokking,200,0.975,55.15609837486409,results/raw/stage9-sparse-s1-27fffed087e6/step_00000200/threshold_09750/runtime_telemetry.json,d8a84edc61a8bf1a01567c8b6364cd33b72160f45b145c1e5a9a9730e898bd28
stage9-sparse-s1-27fffed087e6,pre-grokking,200,0.95,69.07149229105562,results/raw/stage9-sparse-s1-27fffed087e6/step_00000200/threshold_09500/runtime_telemetry.json,edcb90373beeb3ac6873af0079f8babb288a02376791259a454df07d3fb98e28
stage9-sparse-s1-27fffed087e6,pre-grokking,200,0.9,84.2302926669363,results/raw/stage9-sparse-s1-27fffed087e6/step_00000200/threshold_09000/runtime_telemetry.json,dd337c48269150486060e2fe96517ed898d36876cc23e964e0653f6e87b95866
stage9-sparse-s1-27fffed087e6,pre-grokking,200,0.85,113.7309004580602,results/raw/stage9-sparse-s1-27fffed087e6/step_00000200/threshold_08500/runtime_telemetry.json,75af0167cf554c482a42d41b200deea3ccc846ed82c18d7c70bd66d5a5019005
stage9-sparse-s1-27fffed087e6,pre-grokking,200,0.8,115.41006404091604,results/raw/stage9-sparse-s1-27fffed087e6/step_00000200/threshold_08000/runtime_telemetry.json,d3c614eefd9272a83fef7eab2dc25f2805ef8488a2aa2d58851d195d4b835575
stage9-sparse-s1-27fffed087e6,50%,8150,0.99,60.34757341700606,results/raw/stage9-sparse-s1-27fffed087e6/step_00008150/threshold_09900/runtime_telemetry.json,09124ef0be4498d85ea6b11d6a13ee39f9ee75039950989c7a6ecb51755ea38f
stage9-sparse-s1-27fffed087e6,50%,8150,0.975,47.565565957920626,results/raw/stage9-sparse-s1-27fffed087e6/step_00008150/threshold_09750/runtime_telemetry.json,2fbe8e11fe4742cfbaabcc40514aad25f3d12821e0a6b8ba7afd740f2843e506
stage9-sparse-s1-27fffed087e6,50%,8150,0.95,122.85129350004718,results/raw/stage9-sparse-s1-27fffed087e6/step_00008150/threshold_09500/runtime_telemetry.json,34abe17d8a32f98bb5dc3ab70b8b0e72e5118d628c1186b08d2f8ad2f302fd09
stage9-sparse-s1-27fffed087e6,50%,8150,0.9,219.94143862486817,results/raw/stage9-sparse-s1-27fffed087e6/step_00008150/threshold_09000/runtime_telemetry.json,31f15345490f67b19357554393560b680566b929a98147dac279601e6574eb2e
stage9-sparse-s1-27fffed087e6,50%,8150,0.85,390.4986920419615,results/raw/stage9-sparse-s1-27fffed087e6/step_00008150/threshold_08500/runtime_telemetry.json,753eb89d32da2def31bf321a91a8b02b56f3e3ca9a2fe279c798a574da8c03d4
stage9-sparse-s1-27fffed087e6,50%,8150,0.8,416.30218112515286,results/raw/stage9-sparse-s1-27fffed087e6/step_00008150/threshold_08000/runtime_telemetry.json,283915780bfb72ac67bdc1a1d5cd8a56cc011d1219fc971f0899ab37ed16f7f6
