fraction,exact_training_example_count,subset_identifier,subset_sha256,run_id,training_git_commit,device,training_step,learning_rate,weight_norm,gradient_norm,train_loss,test_loss,train_accuracy,test_accuracy,checkpoint_path,checkpoint_sha256,model_state_sha256,optimizer_state_sha256
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,0,0.001,33.637939453125,,4.733822345733643,4.73443603515625,0.007518797181546688,0.008837677538394928,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000000.pt,8751ea0fbee3faed29cb6a7eacf7e90f870ecc73dadf05b3ba914c50aea99cb0,efddd051b047b037b2cc24e46d67f51606979a0c3a20cbbdf3e0e3e8ead378ad,be4aaa8e6b2252628a20ba7025a5b36dc0d9bbf7d89ebe4ca1f9f375a50a159d
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,50,0.001,37.13835525512695,0.08008451759815216,4.181083679199219,5.520664215087891,0.08583959937095642,0.004810381680727005,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000050.pt,f358228ff786a4f6d22b0c3133d84e61eb3e087bd1aa06862409b0d407884616,62ec3ad5f1be599dc6c306257e438faea7677a0b7eae5cc5ada0e71da47245c6,87adcc1735b3c553d8e00c14cbeb128e16e4fd7ac6fe76bdc489f3e9a37c18b5
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,100,0.001,45.063507080078125,0.22778469324111938,2.76900053024292,7.6459832191467285,0.31453633308410645,0.006152813322842121,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000100.pt,070f06c37a44805e741c5f8d225ce92a8c15efaf923880a077a134d24605fac2,bd4ccdb6732d853fc0869a5d86979196bb70ea27ff6df87e60fd4cdc5890609e,ba9a7ce0ef9e178dd8d6973bce2cf90abcfed60a1b730baa5e1d22a54c36f141
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,150,0.001,53.85300827026367,0.25572872161865234,0.3713703453540802,14.538126945495605,0.9815163016319275,0.01666853204369545,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000150.pt,df9e14225f80860a6887fd5d3913585ebb01eda1673486cbc96d2c996386a51e,83d08b39720e0e917f34beb9c18996d670c259d22c979b314841322bbdc10493,7ec89e7539cfb63be301682295c348d2e7689cf6fd2b3b89f6e21873d0478329
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,200,0.001,56.69402313232422,0.021271001547574997,0.02494957484304905,20.541162490844727,1.0,0.01991274207830429,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000200.pt,878fe4e38b80c13c7f79ebb1fad6dec8fbc4b43ac83f77fa237cff843271006b,7222cb34071f0a9599936b4f24b8cfd2781bf00ecdff907ed0e8045b38401143,9232ecddd3cdf6afa6757615bc7106e1025b51ea5dac4200f03a013dc1b9728f
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,250,0.001,56.55366897583008,0.016828633844852448,0.014445544220507145,20.718679428100586,1.0,0.021031435579061508,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000250.pt,d6a6c7303e8557523d00d3decc5e03c95aa8d6bfbdaf72d04ee6e1a1c9860fe9,9408c4464526b7ee038b1dc0aa9b7b88010962eef409aa7f6a3e7c3c5fad3a12,a8625da9e2001e01975115a9ba7cdeba2a3e6cbab581ed21dc5a7d854115800c
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,300,0.001,56.57020568847656,0.010045557282865047,0.008255191147327423,21.167057037353516,1.0,0.02058395743370056,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000300.pt,2b637867a4fcf17c330e504f9fdd82e9d222a180b40a053cb56a6a4937e911d4,3d454f5b904c35afaaf69b36c3d7a0a47c31e4ce0af0df70c2b23c016ef5d885,26a5241f3743d5a9478dbcd6fd5d2bde87f605bc3e447d1436cf4183788d5a0c
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,350,0.001,56.66084289550781,0.007085136603564024,0.004651270341128111,21.75110626220703,1.0,0.021926390007138252,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000350.pt,f979cc362e0e00d830bda1454cb6859f741231da27ed0e9835bff706d1a2d7aa,df884ddc18e197b6fbc55d6abe36f00b0938ae34a81c1e019a0b469644af14d2,918a55eecdf6671f11523ce01baa58cb3e097665087830248da4a049806a33d7
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,400,0.001,56.77862548828125,0.0038132055196911097,0.002650083042681217,22.379350662231445,1.0,0.022261997684836388,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000400.pt,0ebbb65aa33136ac831655442cb32d2fc7da6251f405426067a35df049f6ad37,48f8afdbfe287a706ca69e035625b4edbc31225f875bb94de6bf78cdbd007e19,8b7b0da6dc383f4e39529bd59797485fc33ccb558bf867b0b9f80a88931fea4a
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,450,0.001,56.91677474975586,0.0022616751957684755,0.0015200503403320909,23.043373107910156,1.0,0.022933214902877808,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000450.pt,d80819589c8cc7617a60272f8d16e7a0c88568842656e797165bc304407d1ce8,2dddeb4edc2302464d0be00e6a6f17a8a10c36ed185ac3c5628ea81ad093305a,ed2d09d9f54aa545e7a021918d7b0a3cf9016359b3f981c1912847f7883d9461
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,500,0.001,57.06535720825195,0.0015387538587674499,0.0008760985801927745,23.72631072998047,1.0,0.02382816933095455,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000500.pt,ca2c51ce65bbe2c88d3b8c1cc4138be70afa8870babf77dc52f2ed67cf297b4c,5d92f57af290558295901b0aec2533cd09e01cfb27909565793839c4fdc95efb,a8fb8a24cc76c1f0e24e5b00cbf264797abeea593292fd6536d0f4fd5eab6173
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,550,0.001,57.224143981933594,0.0007630251930095255,0.0005067826714366674,24.42572784423828,1.0,0.024834992364048958,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000550.pt,5a683fc901ac1e0a88fc016e67fc72868dc5797a2b80053c034872b796a5dbff,61ed896a0d5e33fcae3f154e6ffa6f325d66672ca97e7141095125f70357b8ba,f851588d23802064e5e6a7c0f009a3035fd03538f08172bb9f3d27d644460211
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,600,0.001,57.38249206542969,0.0006542745977640152,0.0002945348678622395,25.131399154663086,1.0,0.024611253291368484,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000600.pt,f88dfcc956122cf7178615bb375238023025d7741ffaf77e0b874c7801d8964b,cbc7e9262b1eed0cdd687948b6844d3cd7a1d29e617e3a05f95e2c8f76342dbf,2edb36f71dc68f57bb578099de8a7e333a8e3c1dc7570e48a19701f55336551e
0.25,3192,frozen_25pct_training_prefix,92f2ccc479341b5a2f7f21f860ff759772f7416085878a33ce37e96445a0541d,stage13-no-generalisation-training-s0-676186058f2a,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,650,0.001,57.53310012817383,0.0002577105478849262,0.0001717565319268033,25.838579177856445,1.0,0.025841817259788513,checkpoints/stage13-no-generalisation-training-s0-676186058f2a/step_00000650.pt,3dbe829f99189ceedb10e2188ce1a444c36643a899f2df3520a8331f88571563,73b552f6ce4306cfceed0cb15aedb5fb1538ba07a977a433b76c07f8480627b8,5e5a2df22ea815c2e16f8ad82f3ae792172f37f167df49d28a9c5f49cd77d503
