global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,checkpoint_sha256,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_cutoff,primary_cell,family_search_execution_mode,transfer_execution_mode,source_stage,source_run_id,source_manifest,source_cell_id,fresh_cell_index,worker_id,output_root,status,stopping_reason,family_size,transfer_group_status
1,s0-step200-f4of5-d1of4,0,1,200,,4,5,0.800,1,4,0.25,False,fresh_execution,fresh_execution,,,,,0,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step200-f4of5-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
2,s0-step200-f4of5-d1of2,0,1,200,,4,5,0.800,1,2,0.50,False,fresh_execution,fresh_execution,,,,,1,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step200-f4of5-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
3,s0-step200-f4of5-d3of4,0,1,200,,4,5,0.800,3,4,0.75,False,fresh_execution,fresh_execution,,,,,2,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step200-f4of5-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
4,s0-step200-f17of20-d1of4,0,1,200,,17,20,0.850,1,4,0.25,False,fresh_execution,fresh_execution,,,,,3,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step200-f17of20-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
5,s0-step200-f17of20-d1of2,0,1,200,,17,20,0.850,1,2,0.50,False,fresh_execution,fresh_execution,,,,,4,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step200-f17of20-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
6,s0-step200-f17of20-d3of4,0,1,200,,17,20,0.850,3,4,0.75,False,fresh_execution,fresh_execution,,,,,5,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step200-f17of20-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
7,s0-step200-f9of10-d1of4,0,1,200,,9,10,0.900,1,4,0.25,False,fresh_execution,fresh_execution,,,,,6,worker_06,results/raw/{stage18_run_id}/workers/worker_06/cells/s0-step200-f9of10-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
8,s0-step200-f9of10-d1of2,0,1,200,,9,10,0.900,1,2,0.50,False,fresh_execution,fresh_execution,,,,,7,worker_07,results/raw/{stage18_run_id}/workers/worker_07/cells/s0-step200-f9of10-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
9,s0-step200-f9of10-d3of4,0,1,200,,9,10,0.900,3,4,0.75,False,fresh_execution,fresh_execution,,,,,8,worker_08,results/raw/{stage18_run_id}/workers/worker_08/cells/s0-step200-f9of10-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
10,s0-step200-f19of20-d1of4,0,1,200,,19,20,0.950,1,4,0.25,False,fresh_execution,fresh_execution,,,,,9,worker_09,results/raw/{stage18_run_id}/workers/worker_09/cells/s0-step200-f19of20-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
11,s0-step200-f19of20-d1of2,0,1,200,,19,20,0.950,1,2,0.50,False,fresh_execution,fresh_execution,,,,,10,worker_10,results/raw/{stage18_run_id}/workers/worker_10/cells/s0-step200-f19of20-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
12,s0-step200-f19of20-d3of4,0,1,200,,19,20,0.950,3,4,0.75,False,fresh_execution,fresh_execution,,,,,11,worker_11,results/raw/{stage18_run_id}/workers/worker_11/cells/s0-step200-f19of20-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
13,s0-step200-f39of40-d1of4,0,1,200,,39,40,0.975,1,4,0.25,False,fresh_execution,fresh_execution,,,,,12,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step200-f39of40-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
14,s0-step200-f39of40-d1of2,0,1,200,,39,40,0.975,1,2,0.50,False,fresh_execution,fresh_execution,,,,,13,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step200-f39of40-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
15,s0-step200-f39of40-d3of4,0,1,200,,39,40,0.975,3,4,0.75,False,fresh_execution,fresh_execution,,,,,14,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step200-f39of40-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
16,s0-step200-f99of100-d1of4,0,1,200,,99,100,0.990,1,4,0.25,False,fresh_execution,fresh_execution,,,,,15,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step200-f99of100-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
17,s0-step200-f99of100-d1of2,0,1,200,,99,100,0.990,1,2,0.50,True,fresh_execution,fresh_execution,,,,,16,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step200-f99of100-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
18,s0-step200-f99of100-d3of4,0,1,200,,99,100,0.990,3,4,0.75,False,fresh_execution,fresh_execution,,,,,17,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step200-f99of100-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
19,s0-step3400-f4of5-d1of4,0,2,3400,,4,5,0.800,1,4,0.25,False,fresh_execution,fresh_execution,,,,,18,worker_06,results/raw/{stage18_run_id}/workers/worker_06/cells/s0-step3400-f4of5-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
20,s0-step3400-f4of5-d1of2,0,2,3400,,4,5,0.800,1,2,0.50,False,fresh_execution,fresh_execution,,,,,19,worker_07,results/raw/{stage18_run_id}/workers/worker_07/cells/s0-step3400-f4of5-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
21,s0-step3400-f4of5-d3of4,0,2,3400,,4,5,0.800,3,4,0.75,False,fresh_execution,fresh_execution,,,,,20,worker_08,results/raw/{stage18_run_id}/workers/worker_08/cells/s0-step3400-f4of5-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
22,s0-step3400-f17of20-d1of4,0,2,3400,,17,20,0.850,1,4,0.25,False,fresh_execution,fresh_execution,,,,,21,worker_09,results/raw/{stage18_run_id}/workers/worker_09/cells/s0-step3400-f17of20-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
23,s0-step3400-f17of20-d1of2,0,2,3400,,17,20,0.850,1,2,0.50,False,fresh_execution,fresh_execution,,,,,22,worker_10,results/raw/{stage18_run_id}/workers/worker_10/cells/s0-step3400-f17of20-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
24,s0-step3400-f17of20-d3of4,0,2,3400,,17,20,0.850,3,4,0.75,False,fresh_execution,fresh_execution,,,,,23,worker_11,results/raw/{stage18_run_id}/workers/worker_11/cells/s0-step3400-f17of20-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
25,s0-step3400-f9of10-d1of4,0,2,3400,,9,10,0.900,1,4,0.25,False,fresh_execution,fresh_execution,,,,,24,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step3400-f9of10-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
26,s0-step3400-f9of10-d1of2,0,2,3400,,9,10,0.900,1,2,0.50,False,fresh_execution,fresh_execution,,,,,25,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step3400-f9of10-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
27,s0-step3400-f9of10-d3of4,0,2,3400,,9,10,0.900,3,4,0.75,False,fresh_execution,fresh_execution,,,,,26,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step3400-f9of10-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
28,s0-step3400-f19of20-d1of4,0,2,3400,,19,20,0.950,1,4,0.25,False,fresh_execution,fresh_execution,,,,,27,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step3400-f19of20-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
29,s0-step3400-f19of20-d1of2,0,2,3400,,19,20,0.950,1,2,0.50,False,fresh_execution,fresh_execution,,,,,28,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step3400-f19of20-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
30,s0-step3400-f19of20-d3of4,0,2,3400,,19,20,0.950,3,4,0.75,False,fresh_execution,fresh_execution,,,,,29,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step3400-f19of20-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
31,s0-step3400-f39of40-d1of4,0,2,3400,,39,40,0.975,1,4,0.25,False,fresh_execution,fresh_execution,,,,,30,worker_06,results/raw/{stage18_run_id}/workers/worker_06/cells/s0-step3400-f39of40-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
32,s0-step3400-f39of40-d1of2,0,2,3400,,39,40,0.975,1,2,0.50,False,fresh_execution,fresh_execution,,,,,31,worker_07,results/raw/{stage18_run_id}/workers/worker_07/cells/s0-step3400-f39of40-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
33,s0-step3400-f39of40-d3of4,0,2,3400,,39,40,0.975,3,4,0.75,False,fresh_execution,fresh_execution,,,,,32,worker_08,results/raw/{stage18_run_id}/workers/worker_08/cells/s0-step3400-f39of40-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
34,s0-step3400-f99of100-d1of4,0,2,3400,,99,100,0.990,1,4,0.25,False,fresh_execution,fresh_execution,,,,,33,worker_09,results/raw/{stage18_run_id}/workers/worker_09/cells/s0-step3400-f99of100-d1of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
35,s0-step3400-f99of100-d1of2,0,2,3400,,99,100,0.990,1,2,0.50,True,fresh_execution,fresh_execution,,,,,34,worker_10,results/raw/{stage18_run_id}/workers/worker_10/cells/s0-step3400-f99of100-d1of2,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
36,s0-step3400-f99of100-d3of4,0,2,3400,,99,100,0.990,3,4,0.75,False,fresh_execution,fresh_execution,,,,,35,worker_11,results/raw/{stage18_run_id}/workers/worker_11/cells/s0-step3400-f99of100-d3of4,sparsity_failure,requested_member_1_sparsity_failure,0,not_applicable_empty_family
37,s0-step7450-f4of5-d1of4,0,3,7450,,4,5,0.800,1,4,0.25,False,fresh_execution,fresh_execution,,,,,36,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step7450-f4of5-d1of4,budget_exhaustion,requested_member_4_budget_exhaustion,3,complete
38,s0-step7450-f4of5-d1of2,0,3,7450,,4,5,0.800,1,2,0.50,False,fresh_execution,fresh_execution,,,,,37,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step7450-f4of5-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
39,s0-step7450-f4of5-d3of4,0,3,7450,,4,5,0.800,3,4,0.75,False,fresh_execution,fresh_execution,,,,,38,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step7450-f4of5-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
40,s0-step7450-f17of20-d1of4,0,3,7450,,17,20,0.850,1,4,0.25,False,fresh_execution,fresh_execution,,,,,39,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step7450-f17of20-d1of4,budget_exhaustion,requested_member_4_budget_exhaustion,3,complete
41,s0-step7450-f17of20-d1of2,0,3,7450,,17,20,0.850,1,2,0.50,False,fresh_execution,fresh_execution,,,,,40,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step7450-f17of20-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
42,s0-step7450-f17of20-d3of4,0,3,7450,,17,20,0.850,3,4,0.75,False,fresh_execution,fresh_execution,,,,,41,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step7450-f17of20-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
43,s0-step7450-f9of10-d1of4,0,3,7450,,9,10,0.900,1,4,0.25,False,fresh_execution,fresh_execution,,,,,42,worker_06,results/raw/{stage18_run_id}/workers/worker_06/cells/s0-step7450-f9of10-d1of4,budget_exhaustion,requested_member_5_budget_exhaustion,4,complete
44,s0-step7450-f9of10-d1of2,0,3,7450,,9,10,0.900,1,2,0.50,False,fresh_execution,fresh_execution,,,,,43,worker_07,results/raw/{stage18_run_id}/workers/worker_07/cells/s0-step7450-f9of10-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
45,s0-step7450-f9of10-d3of4,0,3,7450,,9,10,0.900,3,4,0.75,False,fresh_execution,fresh_execution,,,,,44,worker_08,results/raw/{stage18_run_id}/workers/worker_08/cells/s0-step7450-f9of10-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
46,s0-step7450-f19of20-d1of4,0,3,7450,,19,20,0.950,1,4,0.25,False,fresh_execution,fresh_execution,,,,,45,worker_09,results/raw/{stage18_run_id}/workers/worker_09/cells/s0-step7450-f19of20-d1of4,budget_exhaustion,requested_member_4_budget_exhaustion,3,complete
47,s0-step7450-f19of20-d1of2,0,3,7450,,19,20,0.950,1,2,0.50,False,fresh_execution,fresh_execution,,,,,46,worker_10,results/raw/{stage18_run_id}/workers/worker_10/cells/s0-step7450-f19of20-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
48,s0-step7450-f19of20-d3of4,0,3,7450,,19,20,0.950,3,4,0.75,False,fresh_execution,fresh_execution,,,,,47,worker_11,results/raw/{stage18_run_id}/workers/worker_11/cells/s0-step7450-f19of20-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
49,s0-step7450-f39of40-d1of4,0,3,7450,,39,40,0.975,1,4,0.25,False,fresh_execution,fresh_execution,,,,,48,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step7450-f39of40-d1of4,budget_exhaustion,requested_member_5_budget_exhaustion,4,complete
50,s0-step7450-f39of40-d1of2,0,3,7450,,39,40,0.975,1,2,0.50,False,fresh_execution,fresh_execution,,,,,49,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step7450-f39of40-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
51,s0-step7450-f39of40-d3of4,0,3,7450,,39,40,0.975,3,4,0.75,False,fresh_execution,fresh_execution,,,,,50,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step7450-f39of40-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
52,s0-step7450-f99of100-d1of4,0,3,7450,,99,100,0.990,1,4,0.25,False,fresh_execution,fresh_execution,,,,,51,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step7450-f99of100-d1of4,budget_exhaustion,requested_member_5_budget_exhaustion,4,complete
53,s0-step7450-f99of100-d1of2,0,3,7450,,99,100,0.990,1,2,0.50,True,fresh_execution,fresh_execution,,,,,52,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step7450-f99of100-d1of2,budget_exhaustion,requested_member_8_budget_exhaustion,7,complete
54,s0-step7450-f99of100-d3of4,0,3,7450,,99,100,0.990,3,4,0.75,False,fresh_execution,fresh_execution,,,,,53,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step7450-f99of100-d3of4,budget_exhaustion,requested_member_8_budget_exhaustion,7,complete
55,s0-step8150-f4of5-d1of4,0,4,8150,,4,5,0.800,1,4,0.25,False,fresh_execution,fresh_execution,,,,,54,worker_06,results/raw/{stage18_run_id}/workers/worker_06/cells/s0-step8150-f4of5-d1of4,budget_exhaustion,requested_member_3_budget_exhaustion,2,complete
56,s0-step8150-f4of5-d1of2,0,4,8150,,4,5,0.800,1,2,0.50,False,fresh_execution,fresh_execution,,,,,55,worker_07,results/raw/{stage18_run_id}/workers/worker_07/cells/s0-step8150-f4of5-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
57,s0-step8150-f4of5-d3of4,0,4,8150,,4,5,0.800,3,4,0.75,False,fresh_execution,fresh_execution,,,,,56,worker_08,results/raw/{stage18_run_id}/workers/worker_08/cells/s0-step8150-f4of5-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
58,s0-step8150-f17of20-d1of4,0,4,8150,,17,20,0.850,1,4,0.25,False,fresh_execution,fresh_execution,,,,,57,worker_09,results/raw/{stage18_run_id}/workers/worker_09/cells/s0-step8150-f17of20-d1of4,budget_exhaustion,requested_member_4_budget_exhaustion,3,complete
59,s0-step8150-f17of20-d1of2,0,4,8150,,17,20,0.850,1,2,0.50,False,fresh_execution,fresh_execution,,,,,58,worker_10,results/raw/{stage18_run_id}/workers/worker_10/cells/s0-step8150-f17of20-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
60,s0-step8150-f17of20-d3of4,0,4,8150,,17,20,0.850,3,4,0.75,False,fresh_execution,fresh_execution,,,,,59,worker_11,results/raw/{stage18_run_id}/workers/worker_11/cells/s0-step8150-f17of20-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
61,s0-step8150-f9of10-d1of4,0,4,8150,,9,10,0.900,1,4,0.25,False,fresh_execution,fresh_execution,,,,,60,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step8150-f9of10-d1of4,budget_exhaustion,requested_member_4_budget_exhaustion,3,complete
62,s0-step8150-f9of10-d1of2,0,4,8150,,9,10,0.900,1,2,0.50,False,fresh_execution,fresh_execution,,,,,61,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step8150-f9of10-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
63,s0-step8150-f9of10-d3of4,0,4,8150,,9,10,0.900,3,4,0.75,False,fresh_execution,fresh_execution,,,,,62,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step8150-f9of10-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
64,s0-step8150-f19of20-d1of4,0,4,8150,,19,20,0.950,1,4,0.25,False,fresh_execution,fresh_execution,,,,,63,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step8150-f19of20-d1of4,budget_exhaustion,requested_member_3_budget_exhaustion,2,complete
65,s0-step8150-f19of20-d1of2,0,4,8150,,19,20,0.950,1,2,0.50,False,fresh_execution,fresh_execution,,,,,64,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step8150-f19of20-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
66,s0-step8150-f19of20-d3of4,0,4,8150,,19,20,0.950,3,4,0.75,False,fresh_execution,fresh_execution,,,,,65,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step8150-f19of20-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
67,s0-step8150-f39of40-d1of4,0,4,8150,,39,40,0.975,1,4,0.25,False,fresh_execution,fresh_execution,,,,,66,worker_06,results/raw/{stage18_run_id}/workers/worker_06/cells/s0-step8150-f39of40-d1of4,budget_exhaustion,requested_member_6_budget_exhaustion,5,complete
68,s0-step8150-f39of40-d1of2,0,4,8150,,39,40,0.975,1,2,0.50,False,fresh_execution,fresh_execution,,,,,67,worker_07,results/raw/{stage18_run_id}/workers/worker_07/cells/s0-step8150-f39of40-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
69,s0-step8150-f39of40-d3of4,0,4,8150,,39,40,0.975,3,4,0.75,False,fresh_execution,fresh_execution,,,,,68,worker_08,results/raw/{stage18_run_id}/workers/worker_08/cells/s0-step8150-f39of40-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
70,s0-step8150-f99of100-d1of4,0,4,8150,,99,100,0.990,1,4,0.25,False,fresh_execution,fresh_execution,,,,,69,worker_09,results/raw/{stage18_run_id}/workers/worker_09/cells/s0-step8150-f99of100-d1of4,budget_exhaustion,requested_member_6_budget_exhaustion,5,complete
71,s0-step8150-f99of100-d1of2,0,4,8150,,99,100,0.990,1,2,0.50,True,fresh_execution,fresh_execution,,,,,70,worker_10,results/raw/{stage18_run_id}/workers/worker_10/cells/s0-step8150-f99of100-d1of2,budget_exhaustion,requested_member_8_budget_exhaustion,7,complete
72,s0-step8150-f99of100-d3of4,0,4,8150,,99,100,0.990,3,4,0.75,False,fresh_execution,fresh_execution,,,,,71,worker_11,results/raw/{stage18_run_id}/workers/worker_11/cells/s0-step8150-f99of100-d3of4,budget_exhaustion,requested_member_8_budget_exhaustion,7,complete
73,s0-step8500-f4of5-d1of4,0,5,8500,,4,5,0.800,1,4,0.25,False,fresh_execution,fresh_execution,,,,,72,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step8500-f4of5-d1of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
74,s0-step8500-f4of5-d1of2,0,5,8500,,4,5,0.800,1,2,0.50,False,fresh_execution,fresh_execution,,,,,73,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step8500-f4of5-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
75,s0-step8500-f4of5-d3of4,0,5,8500,,4,5,0.800,3,4,0.75,False,fresh_execution,fresh_execution,,,,,74,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step8500-f4of5-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
76,s0-step8500-f17of20-d1of4,0,5,8500,,17,20,0.850,1,4,0.25,False,fresh_execution,fresh_execution,,,,,75,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step8500-f17of20-d1of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
77,s0-step8500-f17of20-d1of2,0,5,8500,,17,20,0.850,1,2,0.50,False,fresh_execution,fresh_execution,,,,,76,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step8500-f17of20-d1of2,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
78,s0-step8500-f17of20-d3of4,0,5,8500,,17,20,0.850,3,4,0.75,False,fresh_execution,fresh_execution,,,,,77,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step8500-f17of20-d3of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
79,s0-step8500-f9of10-d1of4,0,5,8500,,9,10,0.900,1,4,0.25,False,fresh_execution,fresh_execution,,,,,78,worker_06,results/raw/{stage18_run_id}/workers/worker_06/cells/s0-step8500-f9of10-d1of4,budget_exhaustion,requested_member_7_budget_exhaustion,6,complete
