model_seed,checkpoint_step,cell_id,exact_evaluations_used,ranking_passes,restarts_attempted
0,200,s0-step200-f4of5-d1of4,1806,23,1
0,200,s0-step200-f4of5-d1of2,1806,23,1
0,200,s0-step200-f4of5-d3of4,1806,23,1
0,200,s0-step200-f17of20-d1of4,1750,15,1
0,200,s0-step200-f17of20-d1of2,1750,15,1
0,200,s0-step200-f17of20-d3of4,1750,15,1
0,200,s0-step200-f9of10-d1of4,1547,10,1
0,200,s0-step200-f9of10-d1of2,1547,10,1
0,200,s0-step200-f9of10-d3of4,1547,10,1
0,200,s0-step200-f19of20-d1of4,1263,6,1
0,200,s0-step200-f19of20-d1of2,1263,6,1
0,200,s0-step200-f19of20-d3of4,1263,6,1
0,200,s0-step200-f39of40-d1of4,849,4,1
0,200,s0-step200-f39of40-d1of2,849,4,1
0,200,s0-step200-f39of40-d3of4,849,4,1
0,200,s0-step200-f99of100-d1of4,993,4,1
0,200,s0-step200-f99of100-d1of2,993,4,1
0,200,s0-step200-f99of100-d3of4,993,4,1
0,3400,s0-step3400-f4of5-d1of4,2786,51,1
0,3400,s0-step3400-f4of5-d1of2,2786,51,1
0,3400,s0-step3400-f4of5-d3of4,2786,51,1
0,3400,s0-step3400-f17of20-d1of4,1626,27,1
0,3400,s0-step3400-f17of20-d1of2,1626,27,1
0,3400,s0-step3400-f17of20-d3of4,1626,27,1
0,3400,s0-step3400-f9of10-d1of4,684,9,1
0,3400,s0-step3400-f9of10-d1of2,684,9,1
0,3400,s0-step3400-f9of10-d3of4,684,9,1
0,3400,s0-step3400-f19of20-d1of4,561,4,1
0,3400,s0-step3400-f19of20-d1of2,561,4,1
0,3400,s0-step3400-f19of20-d3of4,561,4,1
0,3400,s0-step3400-f39of40-d1of4,738,3,1
0,3400,s0-step3400-f39of40-d1of2,738,3,1
0,3400,s0-step3400-f39of40-d3of4,738,3,1
0,3400,s0-step3400-f99of100-d1of4,611,2,1
0,3400,s0-step3400-f99of100-d1of2,611,2,1
0,3400,s0-step3400-f99of100-d3of4,611,2,1
0,7450,s0-step7450-f4of5-d1of4,32668,2034,5
0,7450,s0-step7450-f4of5-d1of2,50000,3114,7
0,7450,s0-step7450-f4of5-d3of4,50000,3114,7
0,7450,s0-step7450-f17of20-d1of4,32533,2025,5
0,7450,s0-step7450-f17of20-d1of2,50000,3112,7
0,7450,s0-step7450-f17of20-d3of4,50000,3112,7
0,7450,s0-step7450-f9of10-d1of4,39634,2465,6
0,7450,s0-step7450-f9of10-d1of2,50000,3110,7
0,7450,s0-step7450-f9of10-d3of4,50000,3110,7
0,7450,s0-step7450-f19of20-d1of4,31949,1985,5
0,7450,s0-step7450-f19of20-d1of2,50000,3107,7
0,7450,s0-step7450-f19of20-d3of4,50000,3107,7
0,7450,s0-step7450-f39of40-d1of4,38825,2407,6
0,7450,s0-step7450-f39of40-d1of2,50000,3102,7
0,7450,s0-step7450-f39of40-d3of4,50000,3102,7
0,7450,s0-step7450-f99of100-d1of4,38076,2356,6
0,7450,s0-step7450-f99of100-d1of2,50000,3093,8
0,7450,s0-step7450-f99of100-d3of4,50000,3093,8
0,8150,s0-step8150-f4of5-d1of4,25147,1567,4
0,8150,s0-step8150-f4of5-d1of2,50000,3115,7
