cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,model_seed,checkpoint_step,primary_cell,search_execution_mode,source_stage,source_run_id,family_size,family_target,right_censored,right_censoring_status,status,stopping_reason,exact_evaluations_used,ranking_passes,restarts_attempted,accepted_circuit_count,failed_requested_member_count,budget_remaining,transfer_group_count,transfer_group_status,pair_count,minimum_pairwise_jaccard_overlap,maximum_pairwise_jaccard_overlap,mean_pairwise_overlap,median_pairwise_overlap,minimum_structural_distance,maximum_structural_distance,mean_structural_distance,cutoff_compliance,stage18_run_id,checkpoint_index,global_cell_index
1,s0-step200-f4of5-d1of4,4,5,0.800,1,4,0.25,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1806,23,1,0,1,48194,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,1
2,s0-step200-f4of5-d1of2,4,5,0.800,1,2,0.50,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1806,23,1,0,1,48194,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,2
3,s0-step200-f4of5-d3of4,4,5,0.800,3,4,0.75,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1806,23,1,0,1,48194,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,3
4,s0-step200-f17of20-d1of4,17,20,0.850,1,4,0.25,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1750,15,1,0,1,48250,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,4
5,s0-step200-f17of20-d1of2,17,20,0.850,1,2,0.50,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1750,15,1,0,1,48250,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,5
6,s0-step200-f17of20-d3of4,17,20,0.850,3,4,0.75,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1750,15,1,0,1,48250,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,6
7,s0-step200-f9of10-d1of4,9,10,0.900,1,4,0.25,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1547,10,1,0,1,48453,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,7
8,s0-step200-f9of10-d1of2,9,10,0.900,1,2,0.50,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1547,10,1,0,1,48453,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,8
9,s0-step200-f9of10-d3of4,9,10,0.900,3,4,0.75,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1547,10,1,0,1,48453,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,9
10,s0-step200-f19of20-d1of4,19,20,0.950,1,4,0.25,0,200,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1263,6,1,0,1,48737,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,1,10
