cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
1,s0-step200-f4of5-d1of4,1,C1,False,0,0.8002975957396821,494,,0,1,0.0,,1806,1806,23,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,1
2,s0-step200-f4of5-d1of2,1,C1,False,0,0.8002975957396821,494,,0,1,0.0,,1806,1806,23,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,2
3,s0-step200-f4of5-d3of4,1,C1,False,0,0.8002975957396821,494,,0,1,0.0,,1806,1806,23,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,3
4,s0-step200-f17of20-d1of4,1,C1,False,0,0.8500274101339181,502,,0,1,0.0,,1750,1750,15,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,4
5,s0-step200-f17of20-d1of2,1,C1,False,0,0.8500274101339181,502,,0,1,0.0,,1750,1750,15,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,5
6,s0-step200-f17of20-d3of4,1,C1,False,0,0.8500274101339181,502,,0,1,0.0,,1750,1750,15,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,6
7,s0-step200-f9of10-d1of4,1,C1,False,0,0.9002271125381784,507,,0,1,0.0,,1547,1547,10,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,7
8,s0-step200-f9of10-d1of2,1,C1,False,0,0.9002271125381784,507,,0,1,0.0,,1547,1547,10,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,8
9,s0-step200-f9of10-d3of4,1,C1,False,0,0.9002271125381784,507,,0,1,0.0,,1547,1547,10,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,9
10,s0-step200-f19of20-d1of4,1,C1,False,0,0.9502701856057639,511,,0,1,0.0,,1263,1263,6,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,10
11,s0-step200-f19of20-d1of2,1,C1,False,0,0.9502701856057639,511,,0,1,0.0,,1263,1263,6,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,11
