cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
37,s0-step7450-f4of5-d1of4,4,5,0.800,1,4,0.25,fresh_execution,,,C1,C2,1,2,10,83,10,83,0.12048192771084337,0.8795180722891567,True,stage18-scaling-24a9adb84176,0,3,7450,37
37,s0-step7450-f4of5-d1of4,4,5,0.800,1,4,0.25,fresh_execution,,,C1,C3,1,3,18,76,9,38,0.23684210526315788,0.7631578947368421,True,stage18-scaling-24a9adb84176,0,3,7450,37
37,s0-step7450-f4of5-d1of4,4,5,0.800,1,4,0.25,fresh_execution,,,C2,C3,2,3,12,81,4,27,0.14814814814814814,0.8518518518518519,True,stage18-scaling-24a9adb84176,0,3,7450,37
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C2,1,2,10,83,10,83,0.12048192771084337,0.8795180722891567,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C3,1,3,18,76,9,38,0.23684210526315788,0.7631578947368421,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C4,1,4,22,73,22,73,0.3013698630136986,0.6986301369863014,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C5,1,5,23,71,23,71,0.323943661971831,0.676056338028169,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C1,C6,1,6,18,78,3,13,0.23076923076923078,0.7692307692307692,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C2,C3,2,3,12,81,4,27,0.14814814814814814,0.8518518518518519,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C2,C4,2,4,14,80,7,40,0.175,0.825,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C2,C5,2,5,17,76,17,76,0.2236842105263158,0.7763157894736842,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C2,C6,2,6,14,81,14,81,0.1728395061728395,0.8271604938271605,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C3,C4,3,4,18,77,18,77,0.23376623376623376,0.7662337662337663,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C3,C5,3,5,18,76,9,38,0.23684210526315788,0.7631578947368421,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C3,C6,3,6,19,77,19,77,0.24675324675324675,0.7532467532467533,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C4,C5,4,5,22,73,22,73,0.3013698630136986,0.6986301369863014,True,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,fresh_execution,,,C4,C6,4,6,15,82,15,82,0.18292682926829268,0.8170731707317074,True,stage18-scaling-24a9adb84176,0,3,7450,38
