record_type,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,c1_qualified,failed_requested_member_count,terminal_requested_member_index,stopping_reason,failure_category,budget_exhausted,per_cell_evaluations_used,unused_budget,ranking_passes,restart_count,invalid_output_count,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
cell,1,s0-step200-f4of5-d1of4,4,5,0.800,1,4,0.25,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1806,48194,23,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,1
cell,2,s0-step200-f4of5-d1of2,4,5,0.800,1,2,0.50,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1806,48194,23,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,2
cell,3,s0-step200-f4of5-d3of4,4,5,0.800,3,4,0.75,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1806,48194,23,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,3
cell,4,s0-step200-f17of20-d1of4,17,20,0.850,1,4,0.25,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1750,48250,15,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,4
cell,5,s0-step200-f17of20-d1of2,17,20,0.850,1,2,0.50,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1750,48250,15,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,5
cell,6,s0-step200-f17of20-d3of4,17,20,0.850,3,4,0.75,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1750,48250,15,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,6
cell,7,s0-step200-f9of10-d1of4,9,10,0.900,1,4,0.25,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1547,48453,10,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,7
cell,8,s0-step200-f9of10-d1of2,9,10,0.900,1,2,0.50,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1547,48453,10,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,8
cell,9,s0-step200-f9of10-d3of4,9,10,0.900,3,4,0.75,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1547,48453,10,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,9
cell,10,s0-step200-f19of20-d1of4,19,20,0.950,1,4,0.25,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,1263,48737,6,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,1,200,10
