between_group_minimum_distance,cell_id,cell_index,complete_linkage_valid,group_count,group_id,ordered_members_json,source_run_id,source_stage,tolerance,tolerance_denominator,tolerance_numerator,transfer_execution_mode,within_group_maximum_distance,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
,s0-step7450-f4of5-d1of4,37,True,1,G01,"[""C1"",""C2"",""C3""]",,,0.05,20,1,fresh_execution,0.04623724489795922,stage18-scaling-24a9adb84176,0,3,7450,37
,s0-step7450-f4of5-d1of2,38,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.04623724489795922,stage18-scaling-24a9adb84176,0,3,7450,38
,s0-step7450-f4of5-d3of4,39,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.04623724489795922,stage18-scaling-24a9adb84176,0,3,7450,39
,s0-step7450-f17of20-d1of4,40,True,1,G01,"[""C1"",""C2"",""C3""]",,,0.05,20,1,fresh_execution,0.02554632194521389,stage18-scaling-24a9adb84176,0,3,7450,40
,s0-step7450-f17of20-d1of2,41,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.04846938775510201,stage18-scaling-24a9adb84176,0,3,7450,41
,s0-step7450-f17of20-d3of4,42,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.04846938775510201,stage18-scaling-24a9adb84176,0,3,7450,42
,s0-step7450-f9of10-d1of4,43,True,1,G01,"[""C1"",""C2"",""C3"",""C4""]",,,0.05,20,1,fresh_execution,0.024872448979591844,stage18-scaling-24a9adb84176,0,3,7450,43
,s0-step7450-f9of10-d1of2,44,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.03125,stage18-scaling-24a9adb84176,0,3,7450,44
,s0-step7450-f9of10-d3of4,45,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.03125,stage18-scaling-24a9adb84176,0,3,7450,45
,s0-step7450-f19of20-d1of4,46,True,1,G01,"[""C1"",""C2"",""C3""]",,,0.05,20,1,fresh_execution,0.005952380952380931,stage18-scaling-24a9adb84176,0,3,7450,46
,s0-step7450-f19of20-d1of2,47,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.010025062656641603,stage18-scaling-24a9adb84176,0,3,7450,47
,s0-step7450-f19of20-d3of4,48,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.010025062656641603,stage18-scaling-24a9adb84176,0,3,7450,48
,s0-step7450-f39of40-d1of4,49,True,1,G01,"[""C1"",""C2"",""C3"",""C4""]",,,0.05,20,1,fresh_execution,0.00523237919359798,stage18-scaling-24a9adb84176,0,3,7450,49
,s0-step7450-f39of40-d1of2,50,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.008928571428571397,stage18-scaling-24a9adb84176,0,3,7450,50
,s0-step7450-f39of40-d3of4,51,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.008928571428571397,stage18-scaling-24a9adb84176,0,3,7450,51
,s0-step7450-f99of100-d1of4,52,True,1,G01,"[""C1"",""C2"",""C3"",""C4""]",,,0.05,20,1,fresh_execution,0.005102040816326481,stage18-scaling-24a9adb84176,0,3,7450,52
,s0-step7450-f99of100-d1of2,53,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",,,0.05,20,1,fresh_execution,0.005739795918367374,stage18-scaling-24a9adb84176,0,3,7450,53
,s0-step7450-f99of100-d3of4,54,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",,,0.05,20,1,fresh_execution,0.005739795918367374,stage18-scaling-24a9adb84176,0,3,7450,54
,s0-step8150-f4of5-d1of4,55,True,1,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.045552477685441684,stage18-scaling-24a9adb84176,0,4,8150,55
,s0-step8150-f4of5-d1of2,56,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.045552477685441684,stage18-scaling-24a9adb84176,0,4,8150,56
,s0-step8150-f4of5-d3of4,57,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.045552477685441684,stage18-scaling-24a9adb84176,0,4,8150,57
,s0-step8150-f17of20-d1of4,58,True,1,G01,"[""C1"",""C2"",""C3""]",,,0.05,20,1,fresh_execution,0.03316326530612246,stage18-scaling-24a9adb84176,0,4,8150,58
,s0-step8150-f17of20-d1of2,59,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.033482142857142905,stage18-scaling-24a9adb84176,0,4,8150,59
,s0-step8150-f17of20-d3of4,60,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.033482142857142905,stage18-scaling-24a9adb84176,0,4,8150,60
,s0-step8150-f9of10-d1of4,61,True,1,G01,"[""C1"",""C2"",""C3""]",,,0.05,20,1,fresh_execution,0.01817602040816324,stage18-scaling-24a9adb84176,0,4,8150,61
,s0-step8150-f9of10-d1of2,62,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.033482142857142905,stage18-scaling-24a9adb84176,0,4,8150,62
,s0-step8150-f9of10-d3of4,63,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.033482142857142905,stage18-scaling-24a9adb84176,0,4,8150,63
,s0-step8150-f19of20-d1of4,64,True,1,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.009247448979591844,stage18-scaling-24a9adb84176,0,4,8150,64
,s0-step8150-f19of20-d1of2,65,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.014987244897959218,stage18-scaling-24a9adb84176,0,4,8150,65
,s0-step8150-f19of20-d3of4,66,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.014987244897959218,stage18-scaling-24a9adb84176,0,4,8150,66
,s0-step8150-f39of40-d1of4,67,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.015081563558017819,stage18-scaling-24a9adb84176,0,4,8150,67
,s0-step8150-f39of40-d1of2,68,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.015081563558017819,stage18-scaling-24a9adb84176,0,4,8150,68
,s0-step8150-f39of40-d3of4,69,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.015081563558017819,stage18-scaling-24a9adb84176,0,4,8150,69
,s0-step8150-f99of100-d1of4,70,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.0063775510204081565,stage18-scaling-24a9adb84176,0,4,8150,70
,s0-step8150-f99of100-d1of2,71,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",,,0.05,20,1,fresh_execution,0.008928571428571397,stage18-scaling-24a9adb84176,0,4,8150,71
,s0-step8150-f99of100-d3of4,72,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",,,0.05,20,1,fresh_execution,0.008928571428571397,stage18-scaling-24a9adb84176,0,4,8150,72
