stage18_run_id,comparison_id,matching_method,model_seed,source_checkpoint_step,target_checkpoint_step,source_cell_id,target_cell_id,source_family_size,target_family_size,comparison_status,matching_direction,matching_unit,independent_inference_unit
stage18-scaling-24a9adb84176,s0-step200-to-step3400,matched_fidelity,0,200,3400,s0-step200-f99of100-d1of2,s0-step3400-f99of100-d1of2,0,0,both_families_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step200-to-step7450,matched_fidelity,0,200,7450,s0-step200-f99of100-d1of2,s0-step7450-f99of100-d1of2,0,7,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step200-to-step8150,matched_fidelity,0,200,8150,s0-step200-f99of100-d1of2,s0-step8150-f99of100-d1of2,0,7,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step200-to-step8500,matched_fidelity,0,200,8500,s0-step200-f99of100-d1of2,s0-step8500-f99of100-d1of2,0,7,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step200-to-step8650,matched_fidelity,0,200,8650,s0-step200-f99of100-d1of2,s0-step8650-f99of100-d1of2,0,6,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_fidelity,0,200,9050,s0-step200-f99of100-d1of2,s0-step9050-f99of100-d1of2,0,6,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,s0-step3400-f99of100-d1of2,s0-step7450-f99of100-d1of2,0,7,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step3400-to-step8150,matched_fidelity,0,3400,8150,s0-step3400-f99of100-d1of2,s0-step8150-f99of100-d1of2,0,7,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step3400-to-step8500,matched_fidelity,0,3400,8500,s0-step3400-f99of100-d1of2,s0-step8500-f99of100-d1of2,0,7,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
stage18-scaling-24a9adb84176,s0-step3400-to-step8650,matched_fidelity,0,3400,8650,s0-step3400-f99of100-d1of2,s0-step8650-f99of100-d1of2,0,6,left_family_empty,symmetric_joint_pair_selection,circuit_within_trained_model_seed,trained_model_seed
