stage18_run_id,comparison_id,matching_method,model_seed,left_checkpoint_step,right_checkpoint_step,left_cell_id,right_cell_id,left_family_size,right_family_size,left_family_right_censored,right_family_right_censored,matching_tolerance,matched_count,unmatched_left_count,unmatched_right_count,total_absolute_match_difference,comparison_status,left_matched_median_fidelity,right_matched_median_fidelity,fidelity_change_right_minus_left,left_matched_median_retained_components,right_matched_median_retained_components,retained_component_change_right_minus_left,left_matched_median_pairwise_overlap,right_matched_median_pairwise_overlap,left_matched_structural_diversity,right_matched_structural_diversity,structural_diversity_change_right_minus_left
stage18-scaling-24a9adb84176,s0-step200-to-step3400,matched_fidelity,0,200,3400,s0-step200-f99of100-d1of2,s0-step3400-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step200-to-step7450,matched_fidelity,0,200,7450,s0-step200-f99of100-d1of2,s0-step7450-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step200-to-step8150,matched_fidelity,0,200,8150,s0-step200-f99of100-d1of2,s0-step8150-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step200-to-step8500,matched_fidelity,0,200,8500,s0-step200-f99of100-d1of2,s0-step8500-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step200-to-step8650,matched_fidelity,0,200,8650,s0-step200-f99of100-d1of2,s0-step8650-f99of100-d1of2,0,6,False,False,0.01,0,0,6,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_fidelity,0,200,9050,s0-step200-f99of100-d1of2,s0-step9050-f99of100-d1of2,0,6,False,False,0.01,0,0,6,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,s0-step3400-f99of100-d1of2,s0-step7450-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step3400-to-step8150,matched_fidelity,0,3400,8150,s0-step3400-f99of100-d1of2,s0-step8150-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step3400-to-step8500,matched_fidelity,0,3400,8500,s0-step3400-f99of100-d1of2,s0-step8500-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step3400-to-step8650,matched_fidelity,0,3400,8650,s0-step3400-f99of100-d1of2,s0-step8650-f99of100-d1of2,0,6,False,False,0.01,0,0,6,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step3400-to-step9050,matched_fidelity,0,3400,9050,s0-step3400-f99of100-d1of2,s0-step9050-f99of100-d1of2,0,6,False,False,0.01,0,0,6,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s0-step7450-to-step8150,matched_fidelity,0,7450,8150,s0-step7450-f99of100-d1of2,s0-step8150-f99of100-d1of2,7,7,False,False,0.01,7,0,0,0.0006265173466990,matched,0.9903672957945023,0.9903672957945023,0E-16,81,86,5,0.17266187050359713,0.15333333333333332,0.82733812949640287,0.84666666666666668,0.01932853717026381
