stage18_run_id,model_seed,checkpoint_step,frontier_index,frontier_size,unique_candidate_count,mask_sha256,fidelity,retained_components,canonical_cell_id,canonical_circuit_id,source_cell_count,source_cell_ids,source_any_right_censored,fidelity_preference,retained_components_preference,dominance_rule,duplicate_rule,interpolation,family_size_interpretation
stage18-scaling-24a9adb84176,0,7450,1,12,37,ef79c278c780829429b201b771da19c6529947c26dc6fa7af06ddd66cb1fbe38,0.8073459158900462,46,s0-step7450-f4of5-d1of2,C2,3,"[""s0-step7450-f4of5-d1of2"", ""s0-step7450-f4of5-d1of4"", ""s0-step7450-f4of5-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,2,12,37,05d4ac696b45bab85ab459285940d1bc39826f058c840abd484c73905e927d54,0.807737489231733,47,s0-step7450-f4of5-d1of2,C5,2,"[""s0-step7450-f4of5-d1of2"", ""s0-step7450-f4of5-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,3,12,37,8978e4a6c497be9f270dec4ec0ca00c44cda0207c05b1beaa2e01f4bcc15e408,0.856214268932571,48,s0-step7450-f17of20-d1of2,C3,3,"[""s0-step7450-f17of20-d1of2"", ""s0-step7450-f17of20-d1of4"", ""s0-step7450-f17of20-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,4,12,37,d9b4d4c60868ccd5906c79a534293c15804f1be5085de1fefe62183bbfffc024,0.8607565196961391,49,s0-step7450-f17of20-d1of2,C6,2,"[""s0-step7450-f17of20-d1of2"", ""s0-step7450-f17of20-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,5,12,37,485c76a2a39ce322a55af3b0ba43c278dabe71886329c64ff573cb5b8e3adcec,0.9076670060302294,54,s0-step7450-f9of10-d1of2,C2,3,"[""s0-step7450-f9of10-d1of2"", ""s0-step7450-f9of10-d1of4"", ""s0-step7450-f9of10-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,6,12,37,6a362eb60b767cbe4ab647155c34302f02aab3d8590adb43ee9ca7e31c6c1817,0.9516798496358367,60,s0-step7450-f19of20-d1of2,C4,2,"[""s0-step7450-f19of20-d1of2"", ""s0-step7450-f19of20-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,7,12,37,2dedfa7d66a3f451d21f359b2b81f23b0cfec02d743bf7bea753ab7ececd73d2,0.9544991776959825,62,s0-step7450-f19of20-d1of2,C5,2,"[""s0-step7450-f19of20-d1of2"", ""s0-step7450-f19of20-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,8,12,37,e2efda0b14b2a5f665b708b40b37987087f9ec8dc8ccfd64c7d2dc419a9de384,0.9750176208003759,67,s0-step7450-f39of40-d1of2,C1,3,"[""s0-step7450-f39of40-d1of2"", ""s0-step7450-f39of40-d1of4"", ""s0-step7450-f39of40-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,9,12,37,35bf085353a44caad7fcdb917c8b6021ef4d0f5d1fd86dfcdd05f51a8d369e8d,0.9758790821520871,68,s0-step7450-f39of40-d1of2,C4,3,"[""s0-step7450-f39of40-d1of2"", ""s0-step7450-f39of40-d1of4"", ""s0-step7450-f39of40-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
stage18-scaling-24a9adb84176,0,7450,10,12,37,2c6133f802917433c02f0269537412244ed5299145b8ff3d30c9e10b7df04a93,0.9760357114887619,74,s0-step7450-f39of40-d1of2,C5,2,"[""s0-step7450-f39of40-d1of2"", ""s0-step7450-f39of40-d3of4""]",False,higher_is_better,fewer_is_better,weakly_higher_fidelity_and_weakly_fewer_components_with_at_least_one_strict,deduplicate_by_mask_sha256_then_canonical_identity,False,fixed_budget_recovered_lower_bound
