model_seed,checkpoint_index,checkpoint_step,phase_label,first_ten_percent_test_step,stable_post_step,cell_id,right_censored,structural_family_size,transfer_distinct_group_count,median_pairwise_overlap,median_circuit_size,mean_transfer_fidelity
0,1,200,delayed_pre_generalisation,1550,5900,s0-step200-f99of100-d1of2,False,0,,,,
0,2,3400,transition,1550,5900,s0-step3400-f99of100-d1of2,False,0,,,,
0,3,7450,stable_post,1550,5900,s0-step7450-f99of100-d1of2,False,7,1,0.17266187050359713,81,0.9903017998024958428571428571
0,4,8150,stable_post,1550,5900,s0-step8150-f99of100-d1of2,False,7,1,0.15333333333333332,86,0.990327836631948625
0,5,8500,stable_post,1550,5900,s0-step8500-f99of100-d1of2,False,7,1,0.17424242424242425,76,0.9904234732575261928571428571
0,6,8650,stable_post,1550,5900,s0-step8650-f99of100-d1of2,False,6,1,0.14960629921259844,74.0,0.9905494739158359333333333333
0,7,9050,stable_post,1550,5900,s0-step9050-f99of100-d1of2,False,6,1,0.1565217391304348,71.0,0.9909547693442566333333333333
1,1,200,delayed_pre_generalisation,3450,9050,s1-step200-f99of100-d1of2,False,0,,,,
1,2,3400,delayed_pre_generalisation,3450,9050,s1-step3400-f99of100-d1of2,False,0,,,,
1,3,7450,transition,3450,9050,s1-step7450-f99of100-d1of2,False,0,,,,
1,4,8150,transition,3450,9050,s1-step8150-f99of100-d1of2,False,0,,,,
1,5,8500,transition,3450,9050,s1-step8500-f99of100-d1of2,False,0,,,,
1,6,8650,transition,3450,9050,s1-step8650-f99of100-d1of2,False,0,,,,
1,7,9050,stable_post,3450,9050,s1-step9050-f99of100-d1of2,False,7,1,0.22264150943396227,169,0.9900531915460419607142857143
2,1,200,delayed_pre_generalisation,4600,7750,s2-step200-f99of100-d1of2,False,0,,,,
2,2,3400,delayed_pre_generalisation,4600,7750,s2-step3400-f99of100-d1of2,False,0,,,,
2,3,7450,transition,4600,7750,s2-step7450-f99of100-d1of2,False,0,,,,
2,4,8150,stable_post,4600,7750,s2-step8150-f99of100-d1of2,False,7,1,0.26519337016574585,116,0.9903033175659790285714285714
2,5,8500,stable_post,4600,7750,s2-step8500-f99of100-d1of2,False,7,1,0.1858974358974359,102,0.9901381827958725892857142857
2,6,8650,stable_post,4600,7750,s2-step8650-f99of100-d1of2,False,7,1,0.1875,92,0.9902133979663623571428571429
2,7,9050,stable_post,4600,7750,s2-step9050-f99of100-d1of2,False,7,1,0.16216216216216217,85,0.9902873021817881535714285714
3,1,200,delayed_pre_generalisation,6950,10400,s3-step200-f99of100-d1of2,False,0,,,,
3,2,3400,delayed_pre_generalisation,6950,10400,s3-step3400-f99of100-d1of2,False,0,,,,
3,3,7450,transition,6950,10400,s3-step7450-f99of100-d1of2,False,0,,,,
3,4,8150,transition,6950,10400,s3-step8150-f99of100-d1of2,False,0,,,,
3,5,8500,transition,6950,10400,s3-step8500-f99of100-d1of2,False,0,,,,
3,6,8650,transition,6950,10400,s3-step8650-f99of100-d1of2,False,0,,,,
3,7,9050,transition,6950,10400,s3-step9050-f99of100-d1of2,False,0,,,,
4,1,200,delayed_pre_generalisation,3600,6850,s4-step200-f99of100-d1of2,False,0,,,,
4,2,3400,delayed_pre_generalisation,3600,6850,s4-step3400-f99of100-d1of2,False,0,,,,
4,3,7450,stable_post,3600,6850,s4-step7450-f99of100-d1of2,False,7,1,0.16,88,0.9904486793480748107142857143
4,4,8150,stable_post,3600,6850,s4-step8150-f99of100-d1of2,False,7,1,0.16666666666666666,75,0.9906121210933258571428571429
4,5,8500,stable_post,3600,6850,s4-step8500-f99of100-d1of2,False,6,1,0.12396694214876033,65.0,0.9910339039432331708333333333
4,6,8650,stable_post,3600,6850,s4-step8650-f99of100-d1of2,False,6,1,0.14285714285714285,68.0,0.9904259812477622541666666667
4,7,9050,stable_post,3600,6850,s4-step9050-f99of100-d1of2,False,7,1,0.12949640287769784,80,0.9906428654432357142857142857
