model_seed,checkpoint_step,metric,trajectory_value,value_status,undefined_reason,trajectory_definition,independent_unit
0,200,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
0,200,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
0,200,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
0,200,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
0,200,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
0,200,matched_fidelity_structural_diversity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
0,200,matched_sparsity_fidelity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
0,3400,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
0,3400,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
0,3400,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
0,3400,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
0,3400,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
0,3400,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
0,3400,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
0,7450,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
0,7450,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
0,7450,median_pairwise_overlap,0.17266187050359713,defined,,raw_checkpoint_value,trained_model_seed
0,7450,median_circuit_size,81,defined,,raw_checkpoint_value,trained_model_seed
0,7450,mean_transfer_fidelity,0.9903017998024958428571428571,defined,,raw_checkpoint_value,trained_model_seed
0,7450,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
0,7450,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
0,8150,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
0,8150,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
0,8150,median_pairwise_overlap,0.15333333333333332,defined,,raw_checkpoint_value,trained_model_seed
0,8150,median_circuit_size,86,defined,,raw_checkpoint_value,trained_model_seed
0,8150,mean_transfer_fidelity,0.990327836631948625,defined,,raw_checkpoint_value,trained_model_seed
0,8150,matched_fidelity_structural_diversity,0.01932853717026381,defined,,adjacent_change_right_minus_left,trained_model_seed
0,8150,matched_sparsity_fidelity,0E-16,defined,,adjacent_change_right_minus_left,trained_model_seed
0,8500,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
0,8500,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
0,8500,median_pairwise_overlap,0.17424242424242425,defined,,raw_checkpoint_value,trained_model_seed
0,8500,median_circuit_size,76,defined,,raw_checkpoint_value,trained_model_seed
0,8500,mean_transfer_fidelity,0.9904234732575261928571428571,defined,,raw_checkpoint_value,trained_model_seed
0,8500,matched_fidelity_structural_diversity,-0.02090909090909093,defined,,adjacent_change_right_minus_left,trained_model_seed
0,8500,matched_sparsity_fidelity,0.0001566293366747,defined,,adjacent_change_right_minus_left,trained_model_seed
0,8650,structural_family_size,6,defined,,raw_checkpoint_value,trained_model_seed
0,8650,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
0,8650,median_pairwise_overlap,0.14960629921259844,defined,,raw_checkpoint_value,trained_model_seed
0,8650,median_circuit_size,74.0,defined,,raw_checkpoint_value,trained_model_seed
0,8650,mean_transfer_fidelity,0.9905494739158359333333333333,defined,,raw_checkpoint_value,trained_model_seed
0,8650,matched_fidelity_structural_diversity,-0.00467876298071438,defined,,adjacent_change_right_minus_left,trained_model_seed
0,8650,matched_sparsity_fidelity,0.0001957866708435,defined,,adjacent_change_right_minus_left,trained_model_seed
0,9050,structural_family_size,6,defined,,raw_checkpoint_value,trained_model_seed
0,9050,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
0,9050,median_pairwise_overlap,0.1565217391304348,defined,,raw_checkpoint_value,trained_model_seed
0,9050,median_circuit_size,71.0,defined,,raw_checkpoint_value,trained_model_seed
0,9050,mean_transfer_fidelity,0.9909547693442566333333333333,defined,,raw_checkpoint_value,trained_model_seed
0,9050,matched_fidelity_structural_diversity,-0.00691543991783636,defined,,adjacent_change_right_minus_left,trained_model_seed
0,9050,matched_sparsity_fidelity,0.0003915733416869,defined,,adjacent_change_right_minus_left,trained_model_seed
1,200,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
1,200,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,200,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,200,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,200,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,200,matched_fidelity_structural_diversity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
1,200,matched_sparsity_fidelity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
1,3400,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
1,3400,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,3400,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,3400,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,3400,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,3400,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
1,3400,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
1,7450,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
1,7450,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,7450,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
