model_seed,checkpoint_step,displayed_fidelity,displayed_jaccard_cutoff,family_size,right_censored,aggregation_unit
0,200,0.800,0.25,0,False,trained_model_seed
0,200,0.800,0.50,0,False,trained_model_seed
0,200,0.800,0.75,0,False,trained_model_seed
0,200,0.850,0.25,0,False,trained_model_seed
0,200,0.850,0.50,0,False,trained_model_seed
0,200,0.850,0.75,0,False,trained_model_seed
0,200,0.900,0.25,0,False,trained_model_seed
0,200,0.900,0.50,0,False,trained_model_seed
0,200,0.900,0.75,0,False,trained_model_seed
0,200,0.950,0.25,0,False,trained_model_seed
0,200,0.950,0.50,0,False,trained_model_seed
0,200,0.950,0.75,0,False,trained_model_seed
0,200,0.975,0.25,0,False,trained_model_seed
0,200,0.975,0.50,0,False,trained_model_seed
0,200,0.975,0.75,0,False,trained_model_seed
0,200,0.990,0.25,0,False,trained_model_seed
0,200,0.990,0.50,0,False,trained_model_seed
0,200,0.990,0.75,0,False,trained_model_seed
0,3400,0.800,0.25,0,False,trained_model_seed
0,3400,0.800,0.50,0,False,trained_model_seed
0,3400,0.800,0.75,0,False,trained_model_seed
0,3400,0.850,0.25,0,False,trained_model_seed
0,3400,0.850,0.50,0,False,trained_model_seed
0,3400,0.850,0.75,0,False,trained_model_seed
0,3400,0.900,0.25,0,False,trained_model_seed
0,3400,0.900,0.50,0,False,trained_model_seed
0,3400,0.900,0.75,0,False,trained_model_seed
0,3400,0.950,0.25,0,False,trained_model_seed
0,3400,0.950,0.50,0,False,trained_model_seed
0,3400,0.950,0.75,0,False,trained_model_seed
0,3400,0.975,0.25,0,False,trained_model_seed
0,3400,0.975,0.50,0,False,trained_model_seed
0,3400,0.975,0.75,0,False,trained_model_seed
0,3400,0.990,0.25,0,False,trained_model_seed
0,3400,0.990,0.50,0,False,trained_model_seed
0,3400,0.990,0.75,0,False,trained_model_seed
0,7450,0.800,0.25,3,False,trained_model_seed
0,7450,0.800,0.50,6,False,trained_model_seed
0,7450,0.800,0.75,6,False,trained_model_seed
0,7450,0.850,0.25,3,False,trained_model_seed
0,7450,0.850,0.50,6,False,trained_model_seed
0,7450,0.850,0.75,6,False,trained_model_seed
0,7450,0.900,0.25,4,False,trained_model_seed
0,7450,0.900,0.50,6,False,trained_model_seed
0,7450,0.900,0.75,6,False,trained_model_seed
0,7450,0.950,0.25,3,False,trained_model_seed
0,7450,0.950,0.50,6,False,trained_model_seed
0,7450,0.950,0.75,6,False,trained_model_seed
