record_type,model_seed,checkpoint_step,cell_id,circuit_i,circuit_j,jaccard_overlap,displayed_jaccard_cutoff,family_size,display_unit,independent_inference_unit
overlap_matrix,0,9050,s0-step9050-f99of100-d1of2,C1,C1,1.0,0.50,6,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,0,9050,s0-step9050-f99of100-d1of2,C2,C2,1.0,0.50,6,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,0,9050,s0-step9050-f99of100-d1of2,C3,C3,1.0,0.50,6,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,0,9050,s0-step9050-f99of100-d1of2,C4,C4,1.0,0.50,6,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,0,9050,s0-step9050-f99of100-d1of2,C5,C5,1.0,0.50,6,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,0,9050,s0-step9050-f99of100-d1of2,C6,C6,1.0,0.50,6,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C1,C1,1.0,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C2,C2,1.0,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C3,C3,1.0,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C4,C4,1.0,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C5,C5,1.0,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C6,C6,1.0,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C7,C7,1.0,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,C1,1.0,0.50,7,circuit_pair_within_trained_model,trained_model_seed
