condition,model_seed,checkpoint_step,family_size,availability,aggregation_unit
genuine_task,0,200,0,available,trained_model_seed
genuine_task,0,3400,0,available,trained_model_seed
genuine_task,0,7450,7,available,trained_model_seed
genuine_task,0,8150,7,available,trained_model_seed
genuine_task,0,8500,7,available,trained_model_seed
genuine_task,0,8650,6,available,trained_model_seed
genuine_task,0,9050,6,available,trained_model_seed
genuine_task,1,200,0,available,trained_model_seed
genuine_task,1,3400,0,available,trained_model_seed
genuine_task,1,7450,0,available,trained_model_seed
genuine_task,1,8150,0,available,trained_model_seed
genuine_task,1,8500,0,available,trained_model_seed
genuine_task,1,8650,0,available,trained_model_seed
genuine_task,1,9050,7,available,trained_model_seed
genuine_task,2,200,0,available,trained_model_seed
genuine_task,2,3400,0,available,trained_model_seed
genuine_task,2,7450,0,available,trained_model_seed
genuine_task,2,8150,7,available,trained_model_seed
genuine_task,2,8500,7,available,trained_model_seed
genuine_task,2,8650,7,available,trained_model_seed
genuine_task,2,9050,7,available,trained_model_seed
genuine_task,3,200,0,available,trained_model_seed
genuine_task,3,3400,0,available,trained_model_seed
genuine_task,3,7450,0,available,trained_model_seed
genuine_task,3,8150,0,available,trained_model_seed
genuine_task,3,8500,0,available,trained_model_seed
genuine_task,3,8650,0,available,trained_model_seed
genuine_task,3,9050,0,available,trained_model_seed
genuine_task,4,200,0,available,trained_model_seed
genuine_task,4,3400,0,available,trained_model_seed
genuine_task,4,7450,7,available,trained_model_seed
genuine_task,4,8150,7,available,trained_model_seed
genuine_task,4,8500,6,available,trained_model_seed
genuine_task,4,8650,6,available,trained_model_seed
genuine_task,4,9050,7,available,trained_model_seed
random_label,0,200,0,available_descriptive_single_seed,trained_model_seed
random_label,0,3400,0,available_descriptive_single_seed,trained_model_seed
random_label,0,7450,0,available_descriptive_single_seed,trained_model_seed
random_label,0,8150,0,available_descriptive_single_seed,trained_model_seed
random_label,0,8500,0,available_descriptive_single_seed,trained_model_seed
random_label,0,8650,0,available_descriptive_single_seed,trained_model_seed
random_label,0,9050,0,available_descriptive_single_seed,trained_model_seed
matched_no_generalisation,,200,,unavailable_stage15,condition_availability_record
matched_no_generalisation,,3400,,unavailable_stage15,condition_availability_record
matched_no_generalisation,,7450,,unavailable_stage15,condition_availability_record
matched_no_generalisation,,8150,,unavailable_stage15,condition_availability_record
matched_no_generalisation,,8500,,unavailable_stage15,condition_availability_record
matched_no_generalisation,,8650,,unavailable_stage15,condition_availability_record
matched_no_generalisation,,9050,,unavailable_stage15,condition_availability_record
