figure_number,panel,source_table,source_columns,filters,sort_order,aggregation_rule,output_file,output_sha256
1,A: training accuracy; B: test accuracy,results/tables/stage21_figure1_training_curves_source.csv,"model_seed, training_step, train_accuracy, test_accuracy, analysed_checkpoint",all five genuine-task seeds and all logged steps,model_seed ascending; training_step ascending,none; raw logged values,figures/stage21_figure1_training_trajectories.png,c6ec35a7953a232d67e4ef2ca10628a5fec91ea17016a97c007282dcc172d258
1,A: training accuracy; B: test accuracy,results/tables/stage21_figure1_training_curves_source.csv,"model_seed, training_step, train_accuracy, test_accuracy, analysed_checkpoint",all five genuine-task seeds and all logged steps,model_seed ascending; training_step ascending,none; raw logged values,figures/stage21_figure1_training_trajectories.pdf,70bb0cddcf23d99d44278694a6fe13e8e00671fc7793df74e666b43cde9b90d5
2,A: primary family trajectories,results/tables/stage21_figure2_family_dynamics_source.csv,"model_seed, checkpoint_step, family_size, right_censored",fidelity=0.990; displayed_jaccard_cutoff=0.50,model_seed ascending; frozen checkpoint order,none; one line per seed,figures/stage21_figure2_family_dynamics.png,461c2ded95bcd91f763f13f81aff8a0c4a2f4b0d638bc94fe1792e87889c0c37
2,A: primary family trajectories,results/tables/stage21_figure2_family_dynamics_source.csv,"model_seed, checkpoint_step, family_size, right_censored",fidelity=0.990; displayed_jaccard_cutoff=0.50,model_seed ascending; frozen checkpoint order,none; one line per seed,figures/stage21_figure2_family_dynamics.pdf,4ba3f61c93845092a0d0654f803ce8469f317a2cbcb680a4ebe77279cbd27e43
2,B: fidelity sensitivity,results/tables/stage21_figure2_family_dynamics_source.csv,"model_seed, checkpoint_step, displayed_fidelity, family_size",displayed_jaccard_cutoff=0.50; all six frozen fidelity thresholds,fidelity ascending; frozen checkpoint order; model_seed ascending,unweighted arithmetic mean across five seeds,figures/stage21_figure2_family_dynamics.png,461c2ded95bcd91f763f13f81aff8a0c4a2f4b0d638bc94fe1792e87889c0c37
2,B: fidelity sensitivity,results/tables/stage21_figure2_family_dynamics_source.csv,"model_seed, checkpoint_step, displayed_fidelity, family_size",displayed_jaccard_cutoff=0.50; all six frozen fidelity thresholds,fidelity ascending; frozen checkpoint order; model_seed ascending,unweighted arithmetic mean across five seeds,figures/stage21_figure2_family_dynamics.pdf,4ba3f61c93845092a0d0654f803ce8469f317a2cbcb680a4ebe77279cbd27e43
3,A-E: final structural-overlap matrices,results/tables/stage21_figure3_structural_source.csv,"model_seed, circuit_i, circuit_j, jaccard_overlap, family_size",record_type=overlap_matrix; checkpoint_step=9050; fidelity=0.990; cutoff=0.50,model_seed ascending; numeric C1..Cn circuit order,none; symmetric counterpart displayed deterministically,figures/stage21_figure3_structural_sensitivity.png,9ced51bc0e44ba57ed734879b78441c84dbdfb8a9903eb95bf2104261aa0e6a9
3,A-E: final structural-overlap matrices,results/tables/stage21_figure3_structural_source.csv,"model_seed, circuit_i, circuit_j, jaccard_overlap, family_size",record_type=overlap_matrix; checkpoint_step=9050; fidelity=0.990; cutoff=0.50,model_seed ascending; numeric C1..Cn circuit order,none; symmetric counterpart displayed deterministically,figures/stage21_figure3_structural_sensitivity.pdf,ae8d4f72e5780d1319646a8b3400ea272b9504d77d6b643ada73ab13ba784e6d
3,F: distinctness sensitivity,results/tables/stage21_figure3_structural_source.csv,"model_seed, checkpoint_step, displayed_jaccard_cutoff, family_size","record_type=distinctness_sensitivity; fidelity=0.990; cutoffs=0.25,0.50,0.75",cutoff ascending; frozen checkpoint order; model_seed ascending,unweighted arithmetic mean across five seeds,figures/stage21_figure3_structural_sensitivity.png,9ced51bc0e44ba57ed734879b78441c84dbdfb8a9903eb95bf2104261aa0e6a9
3,F: distinctness sensitivity,results/tables/stage21_figure3_structural_source.csv,"model_seed, checkpoint_step, displayed_jaccard_cutoff, family_size","record_type=distinctness_sensitivity; fidelity=0.990; cutoffs=0.25,0.50,0.75",cutoff ascending; frozen checkpoint order; model_seed ascending,unweighted arithmetic mean across five seeds,figures/stage21_figure3_structural_sensitivity.pdf,ae8d4f72e5780d1319646a8b3400ea272b9504d77d6b643ada73ab13ba784e6d
